Unnamed: 0,Rating,Jurisdiction,Charges,Days_of_disposal,City,Years_of_Experience,Type_of_Lawyer,Languages,Pro_bono,Lawyer Names,Lawfirms,Demography,Gender
23,4.0,District Court,72,106.0,['Chennai'],6,"['Immigration', 'Intellectual Property', 'Environmental']","['Punjabi', 'Marathi', 'Malayalam']",yes,Aarna Doctor,"['Chadha', 'Ch', 'ran', 'Bobal']",Small Businesses.,Female
24,4.0,District Court,70,130.0,['Delhi'],18,"['Criminal', 'Intellectual Property', 'Civil']","['Urdu', 'Malayalam']",no,Aarna Iyer,"['Rout', 'Sons']",Small Businesses.,Female
25,4.0,High Court,291,91.0,['Bangalore'],14,"['Environmental', 'Criminal', 'Banking and Finance']","['Kannada', 'Marathi']",yes,Aarna Rajagopal,"['Grover', 'Chatterjee', 'Kulkarni']",Small Businesses.,Female
26,4.0,High Court,269,109.0,['Chennai'],18,"['Family', 'Banking and Finance', 'Human Rights']","['Punjabi', 'Gujarati', 'Malayalam']",no,Aarna Savant,['Char-Bala'],Small Businesses.,Female
27,,District Court,345,90.0,['Kolkata'],7,"['Labor', 'Family', 'Civil']","['Assamese', 'Telugu', 'Urdu']",yes,Aarush De,['Madan-Deo'],Large Corporations.,Male
28,5.0,Specialized Court,155,73.0,['Kolkata'],29,"['Constitutional', 'Intellectual Property', 'Consumer Protection']","['Punjabi', 'Odia']",no,Aarush Goyal,['Chakrabarti-Swaminathan'],Large Corporations.,Male
29,5.0,District Court,127,64.0,['Mumbai'],13,"['Banking and Finance', 'Real Estate', 'Labor']","['Telugu', 'Hindi']",no,Aarush Issac,"['Shan-T', 'on']",Small Businesses.,Male
30,2.0,Supreme Court,492,87.0,['Bangalore'],10,"['Consumer Protection', 'Consumer Protection', 'Tax']","['Tamil', 'Odia', 'Urdu']",no,Aarush Kakar,['Barad Inc'],Individuals.,Male
31,2.0,District Court,470,89.0,['Kolkata'],20,"['Criminal', 'Civil', 'Media and Entertainment']","['Assamese', 'Marathi', 'Gujarati']",yes,Aarush Kota,['Kala Group'],Small Businesses.,Male
32,5.0,Supreme Court,359,105.0,['Delhi'],25,"['Immigration', 'Environmental', 'Immigration']","['Punjabi', 'Bengali', 'Kannada']",yes,Aarush Kumar,"['Joshi', 'Arya', 'Ratta']",Small Businesses.,Male
33,2.0,Specialized Court,489,109.0,['Bangalore'],26,"['Real Estate', 'Labor', 'Real Estate']","['Kannada', 'Hindi', 'Odia']",yes,Aarush Kunda,"['Devan', 'Sunder', 'Sathe']",Small Businesses.,Male
34,3.0,District Court,157,68.0,['Delhi'],2,"['Labor', 'Medical', 'Human Rights']","['Kannada', 'Telugu', 'Malayalam']",yes,Aarush Rajagopalan,['Date-Upadhyay'],Large Corporations.,Male
35,5.0,District Court,173,84.0,['Chennai'],18,"['Human Rights', 'Environmental', 'Real Estate']","['Bengali', 'Malayalam', 'Punjabi']",yes,Aarush Sibal,"['Keer', 'Ratti', 'Karpe']",Individuals.,Male
36,1.0,Specialized Court,265,72.0,['Mumbai'],22,"['Environmental', 'Human Rights', 'Environmental']","['Bengali', 'Hindi']",no,Aaryahi Banik,['Bhagat-Singhal'],Large Corporations.,Female
37,2.0,District Court,175,85.0,['Kolkata'],21,"['Family', 'Real Estate', 'Environmental']","['Bengali', 'Punjabi']",yes,Aaryahi Chowdhury,['Gill-Khatri'],Large Corporations.,Female
38,1.0,Supreme Court,70,81.0,['Bangalore'],16,"['Medical', 'Tax', 'Tax']","['Gujarati', 'Hindi', 'Tamil']",yes,Aaryahi Devan,['Uppal-Upadhyay'],Large Corporations.,Female
39,5.0,High Court,166,96.0,['Kolkata'],10,"['Constitutional', 'Medical', 'Media and Entertainment']","['Kannada', 'Bengali', 'Malayalam']",yes,Aaryahi Gour,['Kaur-Sampath'],Small Businesses.,Female
40,4.0,District Court,194,70.0,['Bangalore'],2,"['Consumer Protection', 'Immigration', 'Media and Entertainment']","['Bengali', 'Tamil', 'Urdu']",yes,Aaryahi Lall,['Divan-Sarma'],Large Corporations.,Female
41,1.0,Supreme Court,490,93.0,['Hyderabad'],12,"['Civil', 'Constitutional', 'Immigration']","['Bengali', 'Hindi', 'Punjabi']",yes,Aaryahi Magar,['Suresh PLC'],Large Corporations.,Female
42,1.0,Specialized Court,326,102.0,['Mumbai'],23,"['Media and Entertainment', 'Immigration', 'Criminal']","['Kannada', 'Bengali', 'Hindi']",yes,Aaryahi Rajagopalan,['Dayal Ltd'],Individuals.,Female
43,4.0,District Court,345,106.0,['Bangalore'],23,"['Criminal', 'Human Rights', 'Tax']","['Kannada', 'Bengali', 'Malayalam']",yes,Aaryahi Rama,['Shroff-Bhatt'],Small Businesses.,Female
44,2.0,District Court,345,86.0,['Mumbai'],2,"['Intellectual Property', 'Constitutional', 'Immigration']","['Hindi', 'Odia']",no,Aaryahi Randhawa,"['Barman', 'Garg', 'Tara']",Large Corporations.,Female
45,2.0,Specialized Court,344,43.0,['Mumbai'],18,"['Labor', 'Constitutional', 'Labor']","['Punjabi', 'Hindi', 'Tamil']",yes,Aaryahi Sama,"['Banik', 'Chaudhari', 'Chauhan']",Individuals.,Female
46,3.0,High Court,279,69.0,['Mumbai'],2,"['Banking and Finance', 'Labor', 'Medical']","['Assamese', 'Kannada', 'Urdu']",yes,Aaryahi Sarin,"['Jha', 'Sons']",Individuals.,Female
47,2.0,High Court,257,86.0,['Mumbai'],24,"['Consumer Protection', 'Media and Entertainment', 'Labor']","['Telugu', 'Gujarati']",no,Aaryahi Sood,['Shankar-Sodhi'],Small Businesses.,Female
48,3.0,Specialized Court,459,100.0,['Hyderabad'],24,"['Family', 'Criminal', 'Civil']","['Marathi', 'Urdu', 'Tamil']",yes,Aaryahi Warrior,"['An', '', 'Bedi', 'Guha']",Large Corporations.,Female
49,2.0,Specialized Court,62,77.0,['Kolkata'],23,"['Labor', 'Real Estate', 'Civil']","['Kannada', 'Assamese', 'Marathi']",no,Aayush Apte,['Chahal PLC'],Large Corporations.,Male
50,3.0,High Court,101,110.0,['Kolkata'],18,"['Medical', 'Media and Entertainment', 'Constitutional']","['Bengali', 'Hindi', 'Punjabi']",no,Aayush Bala,['Kashyap-Gulati'],Individuals.,Male
51,2.0,District Court,404,92.0,['Chennai'],26,"['Constitutional', 'Family', 'Intellectual Property']","['Bengali', 'Kannada', 'Hindi']",yes,Aayush Desai,['Barad LLC'],Large Corporations.,Male
52,5.0,District Court,337,118.0,['Bangalore'],23,"['Environmental', 'Immigration', 'Tax']","['Telugu', 'Gujarati', 'Urdu']",no,Aayush Lalla,['Raman-Mane'],Small Businesses.,Male
53,4.0,Supreme Court,90,61.0,['Hyderabad'],9,"['Human Rights', 'Corporate', 'Intellectual Property']","['Bengali', 'Tamil', 'Punjabi']",no,Aayush Saran,['Lall LLC'],Individuals.,Male
54,5.0,District Court,247,90.0,['Mumbai'],19,"['Family', 'Criminal', 'Consumer Protection']","['Bengali', 'Gujarati', 'Urdu']",yes,Aayush Singh,"['Raju', 'Walla', 'Vaidya']",Large Corporations.,Male
55,5.0,High Court,284,108.0,['Kolkata'],3,"['Criminal', 'Corporate', 'Environmental']","['Punjabi', 'Telugu', 'Odia']",no,Aayush Singhal,['Singhal-Bir'],Individuals.,Male
56,4.0,High Court,197,87.0,['Chennai'],26,"['Consumer Protection', 'Immigration', 'Criminal']","['Marathi', 'Urdu', 'Malayalam']",yes,Abram Borde,"['Hayre', 'Sule', 'Mani']",Individuals.,Male
57,2.0,Supreme Court,399,55.0,['Mumbai'],8,"['Banking and Finance', 'Intellectual Property', 'Immigration']","['Kannada', 'Assamese', 'Marathi']",no,Abram Buch,"['Jayaraman', 'Sen', 'Bala']",Individuals.,Male
58,5.0,Supreme Court,346,82.0,['Chennai'],1,"['Criminal', 'Corporate', 'Tax']","['Kannada', 'Hindi', 'Punjabi']",yes,Abram Dave,['Bail PLC'],Small Businesses.,Male
59,1.0,Supreme Court,154,93.0,['Delhi'],11,"['Tax', 'Media and Entertainment', 'Corporate']","['Bengali', 'Urdu', 'Malayalam']",no,Abram Garde,['Hegde Inc'],Small Businesses.,Male
60,2.0,Specialized Court,344,85.0,['Kolkata'],21,"['Consumer Protection', 'Consumer Protection', 'Human Rights']","['Punjabi', 'Gujarati']",yes,Abram Sabharwal,['Barad-Mann'],Small Businesses.,Male
61,5.0,District Court,453,88.0,['Mumbai'],8,"['Human Rights', 'Constitutional', 'Banking and Finance']","['Gujarati', 'Tamil']",yes,Abram Sachar,[],Large Corporations.,Male
62,2.0,Supreme Court,89,90.0,['Chennai'],17,"['Constitutional', 'Tax', 'Labor']","['Assamese', 'Bengali', 'Marathi']",no,Abram Sagar,"['Jani', 'M', 'a', 'Deep']",Large Corporations.,Male
63,4.0,High Court,227,120.0,['Hyderabad'],19,"['Medical', 'Civil', 'Constitutional']","['Bengali', 'Kannada', 'Malayalam']",yes,Abram Sanghvi,"['Balay', 'Master', 'Cheema']",Individuals.,Male
64,1.0,Supreme Court,206,111.0,['Mumbai'],17,"['Criminal', 'Corporate', 'Intellectual Property']","['Telugu', 'Bengali', 'Urdu']",no,Abram Sidhu,['Ray Inc'],Large Corporations.,Male
65,1.0,High Court,171,81.0,['Bangalore'],23,"['Consumer Protection', 'Human Rights', 'Real Estate']","['Bengali', 'Kannada', 'Gujarati']",yes,Abram Thaker,"['Issac', 'Yogi', 'Grewal']",Small Businesses.,Male
66,5.0,High Court,83,105.0,['Mumbai'],19,"['Immigration', 'Real Estate', 'Corporate']","['Bengali', 'Telugu', 'Malayalam']",yes,Abram Tripathi,"['Reddy', 'Bahri', 'Din']",Large Corporations.,Male
67,,Specialized Court,261,90.0,['Bangalore'],3,"['Consumer Protection', 'Corporate', 'Tax']","['Telugu', 'Gujarati', 'Urdu']",no,Adah Chaudhuri,['Gopal-Barman'],Large Corporations.,Female
68,2.0,Supreme Court,92,100.0,['Delhi'],28,"['Civil', 'Family', 'Real Estate']","['Bengali', 'Telugu', 'Assamese']",yes,Adah Dara,"['Kari-M', 'a']",Individuals.,Female
69,5.0,Specialized Court,359,108.0,['Kolkata'],5,"['Tax', 'Environmental', 'Environmental']","['Punjabi', 'Kannada', 'Malayalam']",no,Adah Dass,"['Dave', 'Arya', 'Dara']",Large Corporations.,Female
70,2.0,High Court,135,79.0,['Delhi'],11,"['Family', 'Civil', 'Banking and Finance']","['Bengali', 'Tamil', 'Urdu']",yes,Adah Deo,['Sridhar Group'],Large Corporations.,Female
71,,Specialized Court,293,90.0,['Hyderabad'],29,"['Media and Entertainment', 'Real Estate', 'Environmental']","['Kannada', 'Hindi', 'Odia']",yes,Adah Gera,"['Sathe', 'An', '', 'Agarwal']",Large Corporations.,Female
72,3.0,District Court,205,138.0,['Chennai'],11,"['Human Rights', 'Banking and Finance', 'Family']","['Telugu', 'Assamese', 'Gujarati']",no,Adah Hayre,['Khatri LLC'],Individuals.,Female
73,3.0,Specialized Court,307,97.0,['Chennai'],25,"['Labor', 'Corporate', 'Intellectual Property']","['Kannada', 'Hindi', 'Urdu']",yes,Adah Khanna,['Bala LLC'],Individuals.,Female
74,2.0,Supreme Court,234,85.0,['Kolkata'],23,"['Media and Entertainment', 'Civil', 'Consumer Protection']","['Bengali', 'Urdu', 'Punjabi']",no,Adah Mallick,"['Issac', 'Shanker', 'Basu']",Small Businesses.,Female
75,1.0,District Court,363,82.0,['Delhi'],18,"['Real Estate', 'Corporate', 'Medical']","['Assamese', 'Marathi', 'Hindi']",yes,Adah Ramakrishnan,['Khalsa-Chauhan'],Small Businesses.,Female
76,2.0,High Court,328,77.0,['Hyderabad'],17,"['Criminal', 'Environmental', 'Human Rights']","['Punjabi', 'Gujarati']",no,Adah Sami,"['Krishnan', 'Kohli', 'Mahajan']",Large Corporations.,Female
77,2.0,Specialized Court,101,108.0,['Chennai'],8,"['Tax', 'Banking and Finance', 'Civil']","['Punjabi', 'Kannada', 'Tamil']",no,Adah Sarin,['Raval-Tripathi'],Large Corporations.,Female
78,4.0,District Court,383,76.0,['Hyderabad'],2,"['Environmental', 'Labor', 'Consumer Protection']","['Bengali', 'Telugu', 'Malayalam']",no,Adira Borah,"['Bh', 'ari', 'Sons']",Individuals.,Female
79,2.0,Supreme Court,378,130.0,['Mumbai'],22,"['Constitutional', 'Human Rights', 'Medical']","['Assamese', 'Punjabi']",yes,Adira Bumb,"['Karan', 'Swaminathan', 'Thaman']",Individuals.,Female
80,3.0,Specialized Court,180,79.0,['Hyderabad'],6,"['Media and Entertainment', 'Constitutional', 'Criminal']","['Punjabi', 'Gujarati', 'Urdu']",no,Adira Chauhan,['Zacharia Group'],Large Corporations.,Female
81,1.0,Specialized Court,168,79.0,['Delhi'],27,"['Intellectual Property', 'Banking and Finance', 'Tax']","['Kannada', 'Hindi', 'Tamil']",no,Adira Gade,"['Bhalla', 'Kala', 'Kadakia']",Small Businesses.,Female
82,5.0,Supreme Court,474,83.0,['Kolkata'],22,"['Family', 'Consumer Protection', 'Constitutional']","['Bengali', 'Hindi', 'Odia']",no,Adira Gopal,['Lad Ltd'],Individuals.,Female
83,4.0,Supreme Court,136,125.0,['Chennai'],23,"['Constitutional', 'Labor', 'Immigration']","['Hindi', 'Urdu', 'Malayalam']",no,Adira Keer,['Vala-Andra'],Small Businesses.,Female
84,3.0,High Court,211,93.0,['Kolkata'],5,"['Immigration', 'Real Estate', 'Real Estate']","['Assamese', 'Hindi']",yes,Adira Khalsa,"['Ganguly-R', 'hawa']",Large Corporations.,Female
85,4.0,High Court,132,114.0,['Delhi'],11,"['Human Rights', 'Corporate', 'Media and Entertainment']","['Punjabi', 'Kannada', 'Gujarati']",yes,Adira Krishnan,"['Dey', 'Agate', 'Bassi']",Large Corporations.,Female
86,,Supreme Court,355,90.0,['Hyderabad'],20,"['Family', 'Consumer Protection', 'Immigration']","['Punjabi', 'Kannada', 'Hindi']",no,Adira Sastry,['Dhar-Deshmukh'],Small Businesses.,Female
87,3.0,Specialized Court,493,96.0,['Chennai'],18,"['Medical', 'Corporate', 'Human Rights']","['Punjabi', 'Gujarati', 'Urdu']",yes,Adira Sha,"['Batta', 'Sharaf', 'Basak']",Small Businesses.,Female
88,2.0,High Court,486,89.0,['Bangalore'],3,"['Civil', 'Intellectual Property', 'Consumer Protection']","['Kannada', 'Bengali', 'Gujarati']",yes,Adira Virk,['Loyal-Basak'],Individuals.,Female
89,2.0,Supreme Court,223,85.0,['Delhi'],26,"['Medical', 'Real Estate', 'Environmental']","['Marathi', 'Tamil', 'Hindi']",no,Advik Bala,['Das LLC'],Large Corporations.,Male
90,2.0,Supreme Court,252,100.0,['Bangalore'],5,"['Constitutional', 'Immigration', 'Criminal']","['Kannada', 'Marathi', 'Gujarati']",yes,Advik Borah,['Bhakta-Cheema'],Individuals.,Male
91,4.0,District Court,409,93.0,['Delhi'],16,"['Intellectual Property', 'Constitutional', 'Corporate']","['Assamese', 'Kannada', 'Marathi']",yes,Advik Brar,['Edwin Group'],Large Corporations.,Male
92,4.0,High Court,434,69.0,['Chennai'],14,"['Corporate', 'Criminal', 'Labor']","['Gujarati', 'Odia', 'Malayalam']",yes,Advik Chaudhari,['Dora LLC'],Small Businesses.,Male
93,2.0,Supreme Court,247,106.0,['Bangalore'],8,"['Human Rights', 'Constitutional', 'Human Rights']","['Odia', 'Urdu', 'Malayalam']",yes,Advik Chaudry,['Barad PLC'],Individuals.,Male
94,1.0,Supreme Court,478,99.0,['Mumbai'],17,"['Intellectual Property', 'Real Estate', 'Immigration']","['Odia', 'Tamil']",yes,Advik Dara,"['Gera', 'Sachdeva', 'Rana']",Individuals.,Male
95,3.0,Specialized Court,488,99.0,['Bangalore'],12,"['Medical', 'Civil', 'Medical']","['Punjabi', 'Hindi', 'Urdu']",yes,Advik Desai,"['Bhatti', 'Kaur', 'Mallick']",Individuals.,Male
96,1.0,District Court,433,112.0,['Kolkata'],15,"['Criminal', 'Family', 'Constitutional']","['Assamese', 'Urdu']",no,Advik Dora,"['Chaudhry', 'Ahuja', 'Gala']",Large Corporations.,Male
97,4.0,Supreme Court,80,105.0,['Delhi'],16,"['Consumer Protection', 'Criminal', 'Constitutional']","['Assamese', 'Marathi', 'Punjabi']",no,Advik Jhaveri,"['Rege', 'Solanki', 'Sampath']",Large Corporations.,Male
98,3.0,Specialized Court,432,114.0,['Kolkata'],15,"['Criminal', 'Immigration', 'Corporate']","['Bengali', 'Kannada', 'Malayalam']",yes,Advik Kala,['Hari-Chakrabarti'],Small Businesses.,Male
99,3.0,High Court,244,68.0,['Delhi'],19,"['Immigration', 'Corporate', 'Consumer Protection']","['Telugu', 'Assamese', 'Tamil']",yes,Advik Loke,['Hari Group'],Individuals.,Male
100,1.0,High Court,481,69.0,['Chennai'],22,"['Immigration', 'Corporate', 'Constitutional']","['Punjabi', 'Assamese', 'Urdu']",yes,Advik Manda,"['Ahuja-S', 'hu']",Large Corporations.,Male
101,4.0,Supreme Court,88,105.0,['Chennai'],24,"['Human Rights', 'Civil', 'Consumer Protection']","['Assamese', 'Kannada', 'Hindi']",yes,Advik Mangal,['Kala Inc'],Large Corporations.,Male
102,5.0,Supreme Court,192,89.0,['Mumbai'],26,"['Real Estate', 'Real Estate', 'Civil']","['Telugu', 'Assamese', 'Marathi']",yes,Advik Mannan,['Kakar-Sha'],Individuals.,Male
103,5.0,Specialized Court,230,96.0,['Bangalore'],20,"['Constitutional', 'Human Rights', 'Medical']","['Kannada', 'Marathi']",yes,Advik Rajagopalan,"['S', 'al Group']",Individuals.,Male
104,5.0,District Court,359,81.0,['Hyderabad'],13,"['Media and Entertainment', 'Civil', 'Medical']","['Bengali', 'Kannada']",no,Advik Sharaf,['Date Inc'],Small Businesses.,Male
105,3.0,High Court,249,96.0,['Chennai'],28,"['Banking and Finance', 'Constitutional', 'Banking and Finance']","['Assamese', 'Marathi']",no,Advik Shukla,['Karan-Ramakrishnan'],Small Businesses.,Male
106,2.0,High Court,184,110.0,['Hyderabad'],2,"['Medical', 'Labor', 'Medical']","['Punjabi', 'Gujarati', 'Tamil']",no,Advik Vaidya,"['Ch', 'ra-Deol']",Individuals.,Male
107,2.0,District Court,153,96.0,['Bangalore'],17,"['Constitutional', 'Real Estate', 'Family']","['Hindi', 'Tamil']",yes,Advik Varghese,['Ganguly PLC'],Large Corporations.,Male
108,5.0,Supreme Court,291,63.0,['Mumbai'],9,"['Corporate', 'Intellectual Property', 'Intellectual Property']","['Gujarati', 'Tamil', 'Malayalam']",yes,Advika Ahluwalia,"['H', 'a-Ravel']",Individuals.,Female
109,5.0,Supreme Court,138,108.0,['Delhi'],17,"['Family', 'Tax', 'Medical']","['Kannada', 'Hindi']",no,Advika Kashyap,"['Bahri', 'Sons']",Large Corporations.,Female
110,5.0,Supreme Court,369,89.0,['Chennai'],16,"['Civil', 'Consumer Protection', 'Civil']","['Kannada', 'Hindi', 'Tamil']",no,Advika Raja,['Agrawal'],Large Corporations.,Female
111,2.0,District Court,270,87.0,['Bangalore'],23,"['Criminal', 'Banking and Finance', 'Medical']","['Bengali', 'Marathi', 'Malayalam']",yes,Advika Sarraf,['Khatri-Gala'],Small Businesses.,Female
112,5.0,High Court,77,94.0,['Chennai'],20,"['Corporate', 'Criminal', 'Family']","['Punjabi', 'Hindi', 'Urdu']",no,Advika Talwar,"['Ch', 'er LLC']",Large Corporations.,Female
113,2.0,High Court,463,127.0,['Delhi'],22,"['Medical', 'Environmental', 'Consumer Protection']","['Telugu', 'Gujarati', 'Hindi']",no,Advika Tata,"['Sarkar', 'Sons']",Small Businesses.,Female
114,3.0,Specialized Court,151,77.0,['Kolkata'],7,"['Labor', 'Criminal', 'Real Estate']","['Gujarati', 'Marathi', 'Tamil']",yes,Advika Vasa,"['Lanka', 'Ch', 'ran', 'Singhal']",Small Businesses.,Female
115,,High Court,267,90.0,['Delhi'],4,"['Real Estate', 'Environmental', 'Environmental']","['Punjabi', 'Marathi', 'Tamil']",no,Advika Wable,['Sharaf-Sura'],Individuals.,Female
116,4.0,Specialized Court,438,143.0,['Kolkata'],26,"['Environmental', 'Banking and Finance', 'Criminal']","['Punjabi', 'Odia', 'Urdu']",yes,Advika Walla,"['Chaudhuri', 'Shukla', 'Ch', 'ra']",Large Corporations.,Female
117,2.0,High Court,349,97.0,['Chennai'],12,"['Human Rights', 'Environmental', 'Corporate']","['Bengali', 'Hindi', 'Urdu']",yes,Ahana  Balan,['Raja-Chaudhari'],Large Corporations.,Female
118,2.0,Supreme Court,495,73.0,['Delhi'],1,"['Real Estate', 'Family', 'Corporate']","['Telugu', 'Hindi', 'Odia']",yes,Ahana  Deshmukh,['Dalal-Rao'],Large Corporations.,Female
119,3.0,Specialized Court,429,99.0,['Hyderabad'],12,"['Media and Entertainment', 'Immigration', 'Family']","['Kannada', 'Telugu', 'Odia']",yes,Ahana  Kadakia,"['Ahuja', 'Deshmukh', 'Tata']",Large Corporations.,Female
120,4.0,District Court,238,92.0,['Hyderabad'],28,"['Criminal', 'Media and Entertainment', 'Family']","['Gujarati', 'Marathi', 'Urdu']",yes,Ahana  Kakar,"['Bala', 'Ranganathan', 'Basu']",Large Corporations.,Female
121,2.0,District Court,313,73.0,['Chennai'],27,"['Family', 'Corporate', 'Tax']","['Punjabi', 'Telugu', 'Gujarati']",yes,Ahana  Kapadia,['Devi-Dubey'],Small Businesses.,Female
122,4.0,High Court,342,94.0,['Kolkata'],18,"['Civil', 'Banking and Finance', 'Labor']","['Marathi', 'Hindi']",no,Ahana  Kata,['Bajaj LLC'],Large Corporations.,Female
123,3.0,District Court,207,94.0,['Hyderabad'],17,"['Human Rights', 'Corporate', 'Human Rights']","['Punjabi', 'Bengali', 'Hindi']",no,Ahana  Rau,"['Khosla', 'Hayer', 'Chakrabarti']",Large Corporations.,Female
124,1.0,Supreme Court,140,92.0,['Delhi'],14,"['Family', 'Consumer Protection', 'Family']","['Punjabi', 'Tamil']",no,Ahana  Samra,['Deshmukh Ltd'],Small Businesses.,Female
125,3.0,Specialized Court,396,87.0,['Delhi'],23,"['Consumer Protection', 'Family', 'Tax']","['Hindi', 'Odia']",no,Ahana  Wadhwa,['Bhavsar PLC'],Large Corporations.,Female
126,,District Court,456,90.0,['Mumbai'],13,"['Consumer Protection', 'Real Estate', 'Real Estate']","['Telugu', 'Bengali', 'Kannada']",yes,Akarsh Bal,['Kakar-Ahluwalia'],Individuals.,Male
127,2.0,District Court,387,105.0,['Hyderabad'],19,"['Consumer Protection', 'Intellectual Property', 'Corporate']","['Assamese', 'Kannada', 'Gujarati']",no,Akarsh Bansal,"['Vyas', 'Bhatia', 'Samra']",Individuals.,Male
