,Lawyer Names,0,1,2,3,4,5,6,7,8,First_Name,Gender
10,Anay Tank,"Anay Tank has 4 years of experience in Civil Law, Civil Law, and Intellectual Property Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 218.27242112169859 USD per hour,He takes 123.16034589023647 Avg Days for Disposal,"He speaks: Telugu, Assamese and Punjabi","He practices at Trivedi, Bahri and Tank, and is based in Bangalore",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Anay,Female
11,Anay Jani,"Anay Jani has 1 years of experience in Banking and Finance Law, Corporate Law, and Civil Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 268.8674453713164 USD per hour,He takes 101.35765231653033 Avg Days for Disposal,"He speaks: Telugu, Marathi and Gujarati","He practices at Cherian LLC, and is based in Delhi",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.,Anay,Female
12,Anay Sani,"Anay Sani has 17 years of experience in Real Estate Law, Criminal Law, and Banking and Finance Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 253.54556493543322 USD per hour,He takes 95.77449624071451 Avg Days for Disposal,"He speaks: Odia, Gujarati and Gujarati","He practices at Toor-Wali, and is based in Delhi",She does not provide pro bono services to the community,Her Client Demographics is Individuals.,Anay,Female
13,Anay Rau,"Anay Rau has 12 years of experience in Constitutional Law, Environmental Law, and Civil Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 459.2999427967411 USD per hour,He takes 96.35261811033057 Avg Days for Disposal,"He speaks: Punjabi, Odia and Odia","He practices at Sodhi, Lad and Luthra, and is based in Hyderabad",She provides pro bono services to the community,Her Client Demographics is Individuals.,Anay,Female
14,Arnav Dubey,"Arnav Dubey has 29 years of experience in Intellectual Property Law, Criminal Law, and Tax Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 435.66306274876007 USD per hour,He takes 119.00039621571536 Avg Days for Disposal,"He speaks: Urdu, Kannada and Tamil","He practices at Sarna-Contractor, and is based in Delhi",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.,Arnav,Male
15,Arnav Kapur,"Arnav Kapur has 25 years of experience in Consumer Protection Law, Constitutional Law, and Criminal Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is District Court,He charges 192.7666284605904 USD per hour,He takes 85.36559978103139 Avg Days for Disposal,"He speaks: Malayalam, Assamese and Kannada","He practices at Kamdar-Sani, and is based in Hyderabad",He does not provide pro bono services to the community,His Client Demographics is Individuals.,Arnav,Male
16,Arnav Shetty,"Arnav Shetty has 26 years of experience in Consumer Protection Law, Media and Entertainment Law, and Family Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is High Court,He charges 186.4436871918537 USD per hour,He takes 91.48970722427025 Avg Days for Disposal,"He speaks: Odia, Gujarati and Assamese","He practices at Goswami-Mane, and is based in Mumbai",He does not provide pro bono services to the community,His Client Demographics is Individuals.,Arnav,Male
17,Arnav Bahl,"Arnav Bahl has 14 years of experience in Labor Law, Media and Entertainment Law, and Human Rights Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 316.6173472557184 USD per hour,He takes 80.35224986959454 Avg Days for Disposal,"He speaks: Marathi, Urdu and Tamil","He practices at Dass LLC, and is based in Hyderabad",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Arnav,Male
18,Arnav Bora,"Arnav Bora has 3 years of experience in Environmental Law, Labor Law, and Human Rights Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 392.20907282423 USD per hour,He takes 91.49739472649652 Avg Days for Disposal,"He speaks: Marathi, Bengali and Marathi","He practices at Mahajan-Basak, and is based in Mumbai",He provides pro bono services to the community,His Client Demographics is Small Businesses.,Arnav,Male
19,Arnav Badal,"Arnav Badal has 28 years of experience in Family Law, Banking and Finance Law, and Media and Entertainment Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 278.5538372015214 USD per hour,He takes 85.50455915003529 Avg Days for Disposal,"He speaks: Punjabi, Gujarati and Hindi","He practices at Thaker PLC, and is based in Chennai",She does not provide pro bono services to the community,Her Client Demographics is Individuals.,Arnav,Male
20,Arnav Konda,"Arnav Konda has 14 years of experience in Family Law, Consumer Protection Law, and Human Rights Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 155.11119540006163 USD per hour,He takes 106.81450535421567 Avg Days for Disposal,"He speaks: Hindi, Punjabi and Urdu","He practices at Setty Inc, and is based in Chennai",She does not provide pro bono services to the community,Her Client Demographics is Individuals.,Arnav,Male
21,Arnav Andra,"Arnav Andra has 6 years of experience in Human Rights Law, Civil Law, and Consumer Protection Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 254.51722982991052 USD per hour,He takes 97.9047208704563 Avg Days for Disposal,"He speaks: Odia, Hindi and Telugu","He practices at Sant-Deep, and is based in Chennai",She provides pro bono services to the community,Her Client Demographics is Individuals.,Arnav,Male
22,Lavanya Lalla,"Lavanya Lalla has 15 years of experience in Human Rights Law, Civil Law, and Family Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 236.79822958471968 USD per hour,He takes 93.85126197992682 Avg Days for Disposal,"He speaks: Gujarati, Kannada and Tamil","He practices at Gade-Cheema, and is based in Delhi",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Lavanya,Female
23,Lavanya Thaman,"Lavanya Thaman has 16 years of experience in Intellectual Property Law, Family Law, and Criminal Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 402.78733272751526 USD per hour,He takes 85.75272172680187 Avg Days for Disposal,"He speaks: Telugu, Telugu and Urdu","He practices at Handa-Garde, and is based in Bangalore",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Lavanya,Female
24,Lavanya Karnik,"Lavanya Karnik has 9 years of experience in Tax Law, Consumer Protection Law, and Family Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is High Court,He charges 411.1953098684989 USD per hour,He takes 63.84491096405196 Avg Days for Disposal,"He speaks: Gujarati, Hindi and Telugu","He practices at Rajagopalan and Sons, and is based in Delhi",She does not provide pro bono services to the community,Her Client Demographics is Individuals.,Lavanya,Female
25,Lavanya Sethi,"Lavanya Sethi has 1 years of experience in Intellectual Property Law, Immigration Law, and Medical Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is District Court,He charges 360.1756945516267 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Marathi, Urdu and Punjabi","He practices at Gole Group, and is based in Kolkata",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.,Lavanya,Female
26,Lavanya Kibe,"Lavanya Kibe has 20 years of experience in Civil Law, Criminal Law, and Human Rights Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 319.74374391242975 USD per hour,He takes 74.81033337835366 Avg Days for Disposal,"He speaks: Odia, Kannada and Malayalam","He practices at Chauhan Ltd, and is based in Chennai",She provides pro bono services to the community,Her Client Demographics is Large Corporations.,Lavanya,Female
27,Lavanya Bajwa,"Lavanya Bajwa has 21 years of experience in Media and Entertainment Law, Immigration Law, and Intellectual Property Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is District Court,He charges 496.441484162969 USD per hour,He takes 82.66265737223675 Avg Days for Disposal,"He speaks: Gujarati, Hindi and Gujarati","He practices at Varma and Sons, and is based in Hyderabad",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Lavanya,Female
28,Lavanya Sood,"Lavanya Sood has 19 years of experience in Real Estate Law, Intellectual Property Law, and Medical Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 274.0411312314436 USD per hour,He takes 78.70194327613544 Avg Days for Disposal,"He speaks: Hindi, Gujarati and Punjabi","He practices at Kaul Inc, and is based in Kolkata",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Lavanya,Female
29,Lavanya Keer,"Lavanya Keer has 1 years of experience in Constitutional Law, Immigration Law, and Consumer Protection Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is High Court,He charges 333.10291038542005 USD per hour,He takes 114.45194947311616 Avg Days for Disposal,"He speaks: Telugu, Odia and Tamil","He practices at Walla-Ghose, and is based in Kolkata",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Lavanya,Female
30,Lavanya Sastry,"Lavanya Sastry has 23 years of experience in Civil Law, Labor Law, and Corporate Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 322.70675111574946 USD per hour,He takes 94.98122192125216 Avg Days for Disposal,"He speaks: Gujarati, Hindi and Gujarati","He practices at Sharaf Ltd, and is based in Hyderabad",She provides pro bono services to the community,Her Client Demographics is Large Corporations.,Lavanya,Female
31,Lavanya Joshi,"Lavanya Joshi has 29 years of experience in Family Law, Civil Law, and Media and Entertainment Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 351.83624021229804 USD per hour,He takes 86.41090279272223 Avg Days for Disposal,"He speaks: Bengali, Gujarati and Bengali","He practices at Gara Inc, and is based in Chennai",He provides pro bono services to the community,His Client Demographics is Individuals.,Lavanya,Female
32,Lavanya Salvi,"Lavanya Salvi has 21 years of experience in Environmental Law, Corporate Law, and Civil Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 93.96827392404133 USD per hour,He takes 83.17242324069355 Avg Days for Disposal,"He speaks: Assamese, Gujarati and Tamil","He practices at Manne LLC, and is based in Bangalore",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.,Lavanya,Female
33,Armaan Khosla,"Armaan Khosla has 11 years of experience in Constitutional Law, Media and Entertainment Law, and Real Estate Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 90.20295603134008 USD per hour,He takes 89.82727367885032 Avg Days for Disposal,"He speaks: Punjabi, Telugu and Tamil","He practices at Brahmbhatt-Konda, and is based in Kolkata",She provides pro bono services to the community,Her Client Demographics is Large Corporations.,Armaan,Male
34,Armaan Bhargava,"Armaan Bhargava has 10 years of experience in Human Rights Law, Corporate Law, and Family Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 241.8432322958156 USD per hour,He takes 63.68572720766252 Avg Days for Disposal,"He speaks: Gujarati, Kannada and Punjabi","He practices at Date, Chandra and Bail, and is based in Chennai",She does not provide pro bono services to the community,Her Client Demographics is Individuals.,Armaan,Male
35,Armaan Wagle,"Armaan Wagle has 11 years of experience in Corporate Law, Civil Law, and Immigration Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 459.249648816484 USD per hour,He takes 104.18832234831959 Avg Days for Disposal,"He speaks: Kannada, Telugu and Punjabi","He practices at Jain-Vasa, and is based in Mumbai",She does not provide pro bono services to the community,Her Client Demographics is Individuals.,Armaan,Male
36,Armaan Singhal,"Armaan Singhal has 7 years of experience in Environmental Law, Real Estate Law, and Intellectual Property Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 413.01851348527765 USD per hour,He takes 101.96962881872858 Avg Days for Disposal,"He speaks: Kannada, Bengali and Hindi","He practices at Sura PLC, and is based in Hyderabad",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Armaan,Male
37,Armaan Datta,"Armaan Datta has 12 years of experience in Human Rights Law, Family Law, and Civil Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is District Court,He charges 347.85570941236784 USD per hour,He takes 85.2587555831554 Avg Days for Disposal,"He speaks: Gujarati, Punjabi and Gujarati","He practices at Chowdhury-Zacharia, and is based in Kolkata",She does not provide pro bono services to the community,Her Client Demographics is Individuals.,Armaan,Male
38,Armaan Seshadri,"Armaan Seshadri has 20 years of experience in Real Estate Law, Consumer Protection Law, and Tax Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is High Court,He charges 415.5861459307552 USD per hour,He takes 92.13566868765699 Avg Days for Disposal,"He speaks: Kannada, Bengali and Telugu","He practices at Randhawa Inc, and is based in Chennai",She provides pro bono services to the community,Her Client Demographics is Individuals.,Armaan,Male
39,Armaan Bhasin,"Armaan Bhasin has 23 years of experience in Consumer Protection Law, Family Law, and Criminal Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 429.1088480760088 USD per hour,He takes 89.13054000497546 Avg Days for Disposal,"He speaks: Hindi, Malayalam and Telugu","He practices at Badami, Lalla and Kunda, and is based in Delhi",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Armaan,Male
40,Armaan Kannan,"Armaan Kannan has 20 years of experience in Immigration Law, Family Law, and Family Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 179.9644864793403 USD per hour,He takes 92.25203480934304 Avg Days for Disposal,"He speaks: Telugu, Malayalam and Marathi","He practices at Roy Group, and is based in Kolkata",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Armaan,Male
41,Armaan Mani,"Armaan Mani has 16 years of experience in Civil Law, Corporate Law, and Environmental Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is Specialized Court,He charges 63.12680085833351 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Telugu, Marathi and Malayalam","He practices at Wali, Raja and Bhakta, and is based in Kolkata",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Armaan,Male
42,Armaan Malhotra,"Armaan Malhotra has 17 years of experience in Constitutional Law, Banking and Finance Law, and Media and Entertainment Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 353.3864524767504 USD per hour,He takes 92.20615241168962 Avg Days for Disposal,"He speaks: Kannada, Bengali and Urdu","He practices at Banerjee, Wadhwa and Saxena, and is based in Bangalore",He does not provide pro bono services to the community,His Client Demographics is Individuals.,Armaan,Male
43,Advik Chaudry,"Advik Chaudry has 8 years of experience in Human Rights Law, Constitutional Law, and Human Rights Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 247.00166478482896 USD per hour,He takes 105.45989712362339 Avg Days for Disposal,"He speaks: Malayalam, Odia and Urdu","He practices at Barad PLC, and is based in Bangalore",She provides pro bono services to the community,Her Client Demographics is Individuals.,Advik,Male
44,Advik Dora,"Advik Dora has 15 years of experience in Criminal Law, Family Law, and Constitutional Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is District Court,He charges 432.76108878796975 USD per hour,He takes 111.69844936877051 Avg Days for Disposal,"He speaks: Urdu, Assamese and Urdu","He practices at Chaudhry, Ahuja and Gala, and is based in Kolkata",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Advik,Male
45,Advik Mangal,"Advik Mangal has 24 years of experience in Human Rights Law, Civil Law, and Consumer Protection Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 88.43381726371939 USD per hour,He takes 104.43517753899854 Avg Days for Disposal,"He speaks: Hindi, Assamese and Kannada","He practices at Kala Inc, and is based in Chennai",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Advik,Male
46,Advik Rajagopalan,"Advik Rajagopalan has 20 years of experience in Constitutional Law, Human Rights Law, and Medical Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 229.8737979384924 USD per hour,He takes 95.30655946337085 Avg Days for Disposal,"He speaks: Marathi, Kannada and Kannada","He practices at Sandal Group, and is based in Bangalore",He provides pro bono services to the community,His Client Demographics is Individuals.,Advik,Male
47,Advik Vaidya,"Advik Vaidya has 2 years of experience in Medical Law, Labor Law, and Medical Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is High Court,He charges 184.16766032445003 USD per hour,He takes 109.71112472286906 Avg Days for Disposal,"He speaks: Gujarati, Tamil and Punjabi","He practices at Chandra-Deol, and is based in Hyderabad",He does not provide pro bono services to the community,His Client Demographics is Individuals.,Advik,Male
48,Advik Jhaveri,"Advik Jhaveri has 16 years of experience in Consumer Protection Law, Criminal Law, and Constitutional Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 80.14599247813142 USD per hour,He takes 104.50210656375816 Avg Days for Disposal,"He speaks: Assamese, Marathi and Punjabi","He practices at Rege, Solanki and Sampath, and is based in Delhi",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Advik,Male
49,Advik Shukla,"Advik Shukla has 28 years of experience in Banking and Finance Law, Constitutional Law, and Banking and Finance Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 249.0771833366871 USD per hour,He takes 95.955700048236 Avg Days for Disposal,"He speaks: Marathi, Marathi and Assamese","He practices at Karan-Ramakrishnan, and is based in Chennai",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.,Advik,Male
50,Advik Loke,"Advik Loke has 19 years of experience in Immigration Law, Corporate Law, and Consumer Protection Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 243.9423782812663 USD per hour,He takes 67.72220755950102 Avg Days for Disposal,"He speaks: Tamil, Telugu and Assamese","He practices at Hari Group, and is based in Delhi",He provides pro bono services to the community,His Client Demographics is Individuals.,Advik,Male
51,Advik Bala,"Advik Bala has 26 years of experience in Medical Law, Real Estate Law, and Environmental Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 222.59053059528964 USD per hour,He takes 84.12645033965941 Avg Days for Disposal,"He speaks: Marathi, Hindi and Tamil","He practices at Das LLC, and is based in Delhi",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Advik,Male
52,Advik Mannan,"Advik Mannan has 26 years of experience in Real Estate Law, Real Estate Law, and Civil Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 192.3689333244573 USD per hour,He takes 88.29656152814323 Avg Days for Disposal,"He speaks: Telugu, Assamese and Marathi","He practices at Kakar-Sha, and is based in Mumbai",She provides pro bono services to the community,Her Client Demographics is Individuals.,Advik,Male
53,Advik Varghese,"Advik Varghese has 17 years of experience in Constitutional Law, Real Estate Law, and Family Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 152.79163353878909 USD per hour,He takes 95.1946906533733 Avg Days for Disposal,"He speaks: Tamil, Tamil and Hindi","He practices at Ganguly PLC, and is based in Bangalore",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Advik,Male
54,Advik Brar,"Advik Brar has 16 years of experience in Intellectual Property Law, Constitutional Law, and Corporate Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is District Court,He charges 409.0110674938735 USD per hour,He takes 92.52977051415293 Avg Days for Disposal,"He speaks: Assamese, Marathi and Kannada","He practices at Edwin Group, and is based in Delhi",She provides pro bono services to the community,Her Client Demographics is Large Corporations.,Advik,Male
55,Advik Chaudhari,"Advik Chaudhari has 14 years of experience in Corporate Law, Criminal Law, and Labor Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is High Court,He charges 433.64243338518514 USD per hour,He takes 68.35927820995931 Avg Days for Disposal,"He speaks: Malayalam, Gujarati and Odia","He practices at Dora LLC, and is based in Chennai",He provides pro bono services to the community,His Client Demographics is Small Businesses.,Advik,Male
56,Advik Manda,"Advik Manda has 22 years of experience in Immigration Law, Corporate Law, and Constitutional Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is High Court,He charges 480.566601765895 USD per hour,He takes 68.67975082022178 Avg Days for Disposal,"He speaks: Punjabi, Assamese and Urdu","He practices at Ahuja-Sandhu, and is based in Chennai",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Advik,Male
57,Advik Desai,"Advik Desai has 12 years of experience in Medical Law, Civil Law, and Medical Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 487.5033691473609 USD per hour,He takes 98.422089447392 Avg Days for Disposal,"He speaks: Urdu, Hindi and Punjabi","He practices at Bhatti, Kaur and Mallick, and is based in Bangalore",She provides pro bono services to the community,Her Client Demographics is Individuals.,Advik,Male
58,Advik Sharaf,"Advik Sharaf has 13 years of experience in Media and Entertainment Law, Civil Law, and Medical Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 359.35916182237764 USD per hour,He takes 80.15854145991538 Avg Days for Disposal,"He speaks: Bengali, Kannada and Kannada","He practices at Date Inc, and is based in Hyderabad",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.,Advik,Male
59,Advik Dara,"Advik Dara has 17 years of experience in Intellectual Property Law, Real Estate Law, and Immigration Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 477.67088816694195 USD per hour,He takes 98.68364727103702 Avg Days for Disposal,"He speaks: Tamil, Odia and Odia","He practices at Gera, Sachdeva and Rana, and is based in Mumbai",She provides pro bono services to the community,Her Client Demographics is Individuals.,Advik,Male
60,Advik Kala,"Advik Kala has 15 years of experience in Criminal Law, Immigration Law, and Corporate Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 431.78797689373 USD per hour,He takes 113.5277847820883 Avg Days for Disposal,"He speaks: Bengali, Kannada and Malayalam","He practices at Hari-Chakrabarti, and is based in Kolkata",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Advik,Male
61,Advik Borah,"Advik Borah has 5 years of experience in Constitutional Law, Immigration Law, and Criminal Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 252.01027516675555 USD per hour,He takes 99.52650017396888 Avg Days for Disposal,"He speaks: Gujarati, Kannada and Marathi","He practices at Bhakta-Cheema, and is based in Bangalore",She provides pro bono services to the community,Her Client Demographics is Individuals.,Advik,Male
62,Urvi Bedi,"Urvi Bedi has 29 years of experience in Medical Law, Immigration Law, and Constitutional Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 153.83056559317419 USD per hour,He takes 106.42197753340989 Avg Days for Disposal,"He speaks: Hindi, Malayalam and Malayalam","He practices at Bhatia, Kumer and Bahl, and is based in Bangalore",He provides pro bono services to the community,His Client Demographics is Small Businesses.,Urvi,Female
63,Urvi Gera,"Urvi Gera has 7 years of experience in Labor Law, Consumer Protection Law, and Criminal Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 397.5204005768776 USD per hour,He takes 82.10167300294947 Avg Days for Disposal,"He speaks: Gujarati, Kannada and Hindi","He practices at Hari LLC, and is based in Kolkata",He provides pro bono services to the community,His Client Demographics is Small Businesses.,Urvi,Female
64,Urvi Setty,"Urvi Setty has 28 years of experience in Criminal Law, Family Law, and Consumer Protection Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 266.8550751994899 USD per hour,He takes 73.88008440850706 Avg Days for Disposal,"He speaks: Assamese, Hindi and Kannada","He practices at Vaidya Group, and is based in Delhi",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Urvi,Female
