,Lawyer Names,0,1,2,3,4,5,6,7,8,Gender
10,Aaina Sule,"Aaina Sule has 21 years of experience in Real Estate Law, Constitutional Law, and Corporate Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 125.07336722761828 USD per hour,He takes 112.39504656664805 Avg Days for Disposal,"He speaks: Odia, Gujarati and Kannada","He practices at Goda-Bakshi, and is based in Bangalore",He provides pro bono services to the community,His Client Demographics is Small Businesses.,Female
11,Aaina Sundaram,"Aaina Sundaram has 19 years of experience in Real Estate Law, Medical Law, and Constitutional Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is District Court,He charges 83.81432892991396 USD per hour,He takes 92.54621651955992 Avg Days for Disposal,"He speaks: Assamese, Urdu and Marathi","He practices at Sanghvi Ltd, and is based in Bangalore",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Female
12,Aaina Upadhyay,"Aaina Upadhyay has 4 years of experience in Banking and Finance Law, Constitutional Law, and Tax Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 411.5937995718925 USD per hour,He takes 98.72585047455759 Avg Days for Disposal,"He speaks: Kannada, Bengali and Malayalam","He practices at Thakkar Group, and is based in Mumbai",She provides pro bono services to the community,Her Client Demographics is Large Corporations.,Female
13,Aarav Batra,"Aarav Batra has 23 years of experience in Media and Entertainment Law, Intellectual Property Law, and Civil Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 474.43813236205284 USD per hour,He takes 97.51375993628787 Avg Days for Disposal,"He speaks: Telugu, Urdu and Punjabi","He practices at Deol-Buch, and is based in Chennai",She provides pro bono services to the community,Her Client Demographics is Individuals.,Male
14,Aarav Dhingra,"Aarav Dhingra has 26 years of experience in Corporate Law, Media and Entertainment Law, and Consumer Protection Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is District Court,He charges 108.64577601604768 USD per hour,He takes 75.19585895247664 Avg Days for Disposal,"He speaks: Punjabi, Hindi and Gujarati","He practices at Kala-Goda, and is based in Bangalore",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.,Male
15,Aarav Lal,"Aarav Lal has 14 years of experience in Civil Law, Civil Law, and Environmental Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is District Court,He charges 235.7777289915079 USD per hour,He takes 99.37977501032255 Avg Days for Disposal,"He speaks: Punjabi, Marathi and Gujarati","He practices at Mand-Dewan, and is based in Hyderabad",She provides pro bono services to the community,Her Client Demographics is Large Corporations.,Male
16,Aarav Madan,"Aarav Madan has 29 years of experience in Media and Entertainment Law, Tax Law, and Medical Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is High Court,He charges 455.86224852704726 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Hindi, Telugu and Assamese","He practices at Jayaraman Ltd, and is based in Delhi",He does not provide pro bono services to the community,His Client Demographics is Individuals.,Male
17,Aarav Mangat,"Aarav Mangat has 1 years of experience in Human Rights Law, Civil Law, and Tax Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is High Court,He charges 155.13114364185495 USD per hour,He takes 69.36548866820458 Avg Days for Disposal,"He speaks: Assamese, Hindi and Telugu","He practices at Kumer PLC, and is based in Mumbai",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Male
18,Aarav Rajan,"Aarav Rajan has 15 years of experience in Tax Law, Corporate Law, and Tax Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 378.731594311847 USD per hour,He takes 114.94397170784757 Avg Days for Disposal,"He speaks: Bengali, Tamil and Marathi","He practices at Kadakia, Karan and Lata, and is based in Delhi",He provides pro bono services to the community,His Client Demographics is Individuals.,Male
19,Aarav Wali,"Aarav Wali has 1 years of experience in Media and Entertainment Law, Real Estate Law, and Human Rights Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 321.711385479689 USD per hour,He takes 87.47370431956678 Avg Days for Disposal,"He speaks: Urdu, Punjabi and Marathi","He practices at Srinivasan-Kannan, and is based in Delhi",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Male
20,Aarna Balan,"Aarna Balan has 19 years of experience in Environmental Law, Constitutional Law, and Civil Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is High Court,He charges 384.03961049017596 USD per hour,He takes 106.82533713581878 Avg Days for Disposal,"He speaks: Hindi, Malayalam and Telugu","He practices at Bail-Lanka, and is based in Chennai",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Female
21,Aarna Deo,"Aarna Deo has 1 years of experience in Corporate Law, Corporate Law, and Human Rights Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is District Court,He charges 140.06939506221508 USD per hour,He takes 107.90379803214392 Avg Days for Disposal,"He speaks: Gujarati, Marathi and Odia","He practices at Brahmbhatt, Kant and Hari, and is based in Chennai",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.,Female
22,Aarna Dhar,"Aarna Dhar has 1 years of experience in Criminal Law, Banking and Finance Law, and Consumer Protection Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 252.94392619175468 USD per hour,He takes 88.93744728125864 Avg Days for Disposal,"He speaks: Bengali, Tamil and Assamese","He practices at Rout, Raval and Bawa, and is based in Bangalore",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Female
23,Aarna Doctor,"Aarna Doctor has 6 years of experience in Immigration Law, Intellectual Property Law, and Environmental Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is District Court,He charges 72.17314411224716 USD per hour,He takes 105.96256053511566 Avg Days for Disposal,"He speaks: Marathi, Malayalam and Punjabi","He practices at Chadha, Chandran and Bobal, and is based in Chennai",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Female
24,Aarna Iyer,"Aarna Iyer has 18 years of experience in Criminal Law, Intellectual Property Law, and Civil Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is District Court,He charges 69.73108362348346 USD per hour,He takes 129.10288744724653 Avg Days for Disposal,"He speaks: Urdu, Urdu and Malayalam","He practices at Rout and Sons, and is based in Delhi",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.,Female
25,Aarna Rajagopal,"Aarna Rajagopal has 14 years of experience in Environmental Law, Criminal Law, and Banking and Finance Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is High Court,He charges 291.28652567699186 USD per hour,He takes 90.94848219769652 Avg Days for Disposal,"He speaks: Marathi, Kannada and Kannada","He practices at Grover, Chatterjee and Kulkarni, and is based in Bangalore",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Female
26,Aarna Savant,"Aarna Savant has 18 years of experience in Family Law, Banking and Finance Law, and Human Rights Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is High Court,He charges 268.8822659912802 USD per hour,He takes 108.16011828813296 Avg Days for Disposal,"He speaks: Gujarati, Punjabi and Malayalam","He practices at Char-Bala, and is based in Chennai",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.,Female
27,Aarush De,"Aarush De has 7 years of experience in Labor Law, Family Law, and Civil Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is District Court,He charges 345.265741331349 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Urdu, Assamese and Telugu","He practices at Madan-Deo, and is based in Kolkata",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Male
28,Aarush Goyal,"Aarush Goyal has 29 years of experience in Constitutional Law, Intellectual Property Law, and Consumer Protection Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 154.8739345931864 USD per hour,He takes 72.1867024983744 Avg Days for Disposal,"He speaks: Odia, Punjabi and Odia","He practices at Chakrabarti-Swaminathan, and is based in Kolkata",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Male
29,Aarush Issac,"Aarush Issac has 13 years of experience in Banking and Finance Law, Real Estate Law, and Labor Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 126.84212755267353 USD per hour,He takes 63.82859418592048 Avg Days for Disposal,"He speaks: Telugu, Hindi and Telugu","He practices at Shan-Tandon, and is based in Mumbai",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.,Male
30,Aarush Kakar,"Aarush Kakar has 10 years of experience in Consumer Protection Law, Consumer Protection Law, and Tax Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 492.1935851721061 USD per hour,He takes 86.51589745800791 Avg Days for Disposal,"He speaks: Urdu, Tamil and Odia","He practices at Barad Inc, and is based in Bangalore",She does not provide pro bono services to the community,Her Client Demographics is Individuals.,Male
31,Aarush Kota,"Aarush Kota has 20 years of experience in Criminal Law, Civil Law, and Media and Entertainment Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 469.69164524411536 USD per hour,He takes 88.7715843064126 Avg Days for Disposal,"He speaks: Gujarati, Assamese and Marathi","He practices at Kala Group, and is based in Kolkata",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Male
32,Aarush Kumar,"Aarush Kumar has 25 years of experience in Immigration Law, Environmental Law, and Immigration Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 358.6443237889091 USD per hour,He takes 104.50434968017225 Avg Days for Disposal,"He speaks: Punjabi, Bengali and Kannada","He practices at Joshi, Arya and Ratta, and is based in Delhi",He provides pro bono services to the community,His Client Demographics is Small Businesses.,Male
33,Aarush Kunda,"Aarush Kunda has 26 years of experience in Real Estate Law, Labor Law, and Real Estate Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 488.9872980594058 USD per hour,He takes 108.99495401934433 Avg Days for Disposal,"He speaks: Odia, Kannada and Hindi","He practices at Devan, Sunder and Sathe, and is based in Bangalore",He provides pro bono services to the community,His Client Demographics is Small Businesses.,Male
34,Aarush Rajagopalan,"Aarush Rajagopalan has 2 years of experience in Labor Law, Medical Law, and Human Rights Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is District Court,He charges 157.15617946429944 USD per hour,He takes 67.85606183997331 Avg Days for Disposal,"He speaks: Malayalam, Kannada and Telugu","He practices at Date-Upadhyay, and is based in Delhi",She provides pro bono services to the community,Her Client Demographics is Large Corporations.,Male
35,Aarush Sibal,"Aarush Sibal has 18 years of experience in Human Rights Law, Environmental Law, and Real Estate Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 172.9218291664753 USD per hour,He takes 83.02386080698491 Avg Days for Disposal,"He speaks: Bengali, Punjabi and Malayalam","He practices at Keer, Ratti and Karpe, and is based in Chennai",She provides pro bono services to the community,Her Client Demographics is Individuals.,Male
36,Aaryahi Banik,"Aaryahi Banik has 22 years of experience in Environmental Law, Human Rights Law, and Environmental Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 264.69941796226675 USD per hour,He takes 71.33270325166701 Avg Days for Disposal,"He speaks: Hindi, Bengali and Bengali","He practices at Bhagat-Singhal, and is based in Mumbai",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Female
37,Aaryahi Chowdhury,"Aaryahi Chowdhury has 21 years of experience in Family Law, Real Estate Law, and Environmental Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 174.8420306604406 USD per hour,He takes 84.02575449686177 Avg Days for Disposal,"He speaks: Bengali, Punjabi and Punjabi","He practices at Gill-Khatri, and is based in Kolkata",She provides pro bono services to the community,Her Client Demographics is Large Corporations.,Female
38,Aaryahi Devan,"Aaryahi Devan has 16 years of experience in Medical Law, Tax Law, and Tax Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 69.64741792085384 USD per hour,He takes 80.56443208194584 Avg Days for Disposal,"He speaks: Tamil, Hindi and Gujarati","He practices at Uppal-Upadhyay, and is based in Bangalore",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Female
39,Aaryahi Gour,"Aaryahi Gour has 10 years of experience in Constitutional Law, Medical Law, and Media and Entertainment Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is High Court,He charges 165.70332679941254 USD per hour,He takes 95.14737831296125 Avg Days for Disposal,"He speaks: Malayalam, Kannada and Bengali","He practices at Kaur-Sampath, and is based in Kolkata",He provides pro bono services to the community,His Client Demographics is Small Businesses.,Female
40,Aaryahi Lall,"Aaryahi Lall has 2 years of experience in Consumer Protection Law, Immigration Law, and Media and Entertainment Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is District Court,He charges 193.81524181699925 USD per hour,He takes 69.89267037950344 Avg Days for Disposal,"He speaks: Bengali, Urdu and Tamil","He practices at Divan-Sarma, and is based in Bangalore",She provides pro bono services to the community,Her Client Demographics is Large Corporations.,Female
41,Aaryahi Magar,"Aaryahi Magar has 12 years of experience in Civil Law, Constitutional Law, and Immigration Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 490.0970406822056 USD per hour,He takes 92.77287981090547 Avg Days for Disposal,"He speaks: Hindi, Bengali and Punjabi","He practices at Suresh PLC, and is based in Hyderabad",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Female
42,Aaryahi Rajagopalan,"Aaryahi Rajagopalan has 23 years of experience in Media and Entertainment Law, Immigration Law, and Criminal Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 326.2306752534759 USD per hour,He takes 101.59271757815584 Avg Days for Disposal,"He speaks: Hindi, Kannada and Bengali","He practices at Dayal Ltd, and is based in Mumbai",He provides pro bono services to the community,His Client Demographics is Individuals.,Female
43,Aaryahi Rama,"Aaryahi Rama has 23 years of experience in Criminal Law, Human Rights Law, and Tax Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is District Court,He charges 344.72349705529473 USD per hour,He takes 105.86701511312877 Avg Days for Disposal,"He speaks: Kannada, Bengali and Malayalam","He practices at Shroff-Bhatt, and is based in Bangalore",He provides pro bono services to the community,His Client Demographics is Small Businesses.,Female
44,Aaryahi Randhawa,"Aaryahi Randhawa has 2 years of experience in Intellectual Property Law, Constitutional Law, and Immigration Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 344.92243975855394 USD per hour,He takes 85.91359648603692 Avg Days for Disposal,"He speaks: Odia, Hindi and Odia","He practices at Barman, Garg and Tara, and is based in Mumbai",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Female
45,Aaryahi Sama,"Aaryahi Sama has 18 years of experience in Labor Law, Constitutional Law, and Labor Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 344.2000653302704 USD per hour,He takes 42.9222800064894 Avg Days for Disposal,"He speaks: Punjabi, Tamil and Hindi","He practices at Banik, Chaudhari and Chauhan, and is based in Mumbai",He provides pro bono services to the community,His Client Demographics is Individuals.,Female
46,Aaryahi Sarin,"Aaryahi Sarin has 2 years of experience in Banking and Finance Law, Labor Law, and Medical Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 279.3906801053921 USD per hour,He takes 68.1186241120396 Avg Days for Disposal,"He speaks: Urdu, Assamese and Kannada","He practices at Jha and Sons, and is based in Mumbai",He provides pro bono services to the community,His Client Demographics is Individuals.,Female
47,Aaryahi Sood,"Aaryahi Sood has 24 years of experience in Consumer Protection Law, Media and Entertainment Law, and Labor Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is High Court,He charges 256.8347394604071 USD per hour,He takes 85.48761065951552 Avg Days for Disposal,"He speaks: Telugu, Telugu and Gujarati","He practices at Shankar-Sodhi, and is based in Mumbai",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.,Female
48,Aaryahi Warrior,"Aaryahi Warrior has 24 years of experience in Family Law, Criminal Law, and Civil Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 458.7968965425192 USD per hour,He takes 99.41520626811712 Avg Days for Disposal,"He speaks: Tamil, Urdu and Marathi","He practices at Anand, Bedi and Guha, and is based in Hyderabad",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Female
49,Aayush Apte,"Aayush Apte has 23 years of experience in Labor Law, Real Estate Law, and Civil Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 61.90110616895036 USD per hour,He takes 76.41304179943279 Avg Days for Disposal,"He speaks: Kannada, Assamese and Marathi","He practices at Chahal PLC, and is based in Kolkata",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Male
50,Aayush Bala,"Aayush Bala has 18 years of experience in Medical Law, Media and Entertainment Law, and Constitutional Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 100.8948827407201 USD per hour,He takes 109.32650433755083 Avg Days for Disposal,"He speaks: Bengali, Punjabi and Hindi","He practices at Kashyap-Gulati, and is based in Kolkata",He does not provide pro bono services to the community,His Client Demographics is Individuals.,Male
51,Aayush Desai,"Aayush Desai has 26 years of experience in Constitutional Law, Family Law, and Intellectual Property Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 404.3069817843682 USD per hour,He takes 91.53812159726283 Avg Days for Disposal,"He speaks: Hindi, Bengali and Kannada","He practices at Barad LLC, and is based in Chennai",She provides pro bono services to the community,Her Client Demographics is Large Corporations.,Male
52,Aayush Lalla,"Aayush Lalla has 23 years of experience in Environmental Law, Immigration Law, and Tax Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 337.1417266084036 USD per hour,He takes 117.11446208506028 Avg Days for Disposal,"He speaks: Gujarati, Telugu and Urdu","He practices at Raman-Mane, and is based in Bangalore",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.,Male
53,Aayush Saran,"Aayush Saran has 9 years of experience in Human Rights Law, Corporate Law, and Intellectual Property Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 90.05438070320398 USD per hour,He takes 60.7259563067567 Avg Days for Disposal,"He speaks: Tamil, Bengali and Punjabi","He practices at Lall LLC, and is based in Hyderabad",She does not provide pro bono services to the community,Her Client Demographics is Individuals.,Male
54,Aayush Singh,"Aayush Singh has 19 years of experience in Family Law, Criminal Law, and Consumer Protection Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 246.54972619549386 USD per hour,He takes 89.82003983058414 Avg Days for Disposal,"He speaks: Bengali, Urdu and Gujarati","He practices at Raju, Walla and Vaidya, and is based in Mumbai",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Male
55,Aayush Singhal,"Aayush Singhal has 3 years of experience in Criminal Law, Corporate Law, and Environmental Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is High Court,He charges 284.1037200963905 USD per hour,He takes 107.3204065007508 Avg Days for Disposal,"He speaks: Punjabi, Telugu and Odia","He practices at Singhal-Bir, and is based in Kolkata",She does not provide pro bono services to the community,Her Client Demographics is Individuals.,Male
56,Abram Borde,"Abram Borde has 26 years of experience in Consumer Protection Law, Immigration Law, and Criminal Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is High Court,He charges 197.15304582324595 USD per hour,He takes 86.49413913222412 Avg Days for Disposal,"He speaks: Malayalam, Marathi and Urdu","He practices at Hayre, Sule and Mani, and is based in Chennai",He provides pro bono services to the community,His Client Demographics is Individuals.,Male
57,Abram Buch,"Abram Buch has 8 years of experience in Banking and Finance Law, Intellectual Property Law, and Immigration Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 398.9342815666226 USD per hour,He takes 54.68275615955097 Avg Days for Disposal,"He speaks: Kannada, Marathi and Assamese","He practices at Jayaraman, Sen and Bala, and is based in Mumbai",She does not provide pro bono services to the community,Her Client Demographics is Individuals.,Male
58,Abram Dave,"Abram Dave has 1 years of experience in Criminal Law, Corporate Law, and Tax Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 345.703477577573 USD per hour,He takes 81.32681852670369 Avg Days for Disposal,"He speaks: Kannada, Hindi and Punjabi","He practices at Bail PLC, and is based in Chennai",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Male
59,Abram Garde,"Abram Garde has 11 years of experience in Tax Law, Media and Entertainment Law, and Corporate Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 153.94068973762865 USD per hour,He takes 92.14485952213825 Avg Days for Disposal,"He speaks: Bengali, Malayalam and Urdu","He practices at Hegde Inc, and is based in Delhi",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.,Male
60,Abram Sabharwal,"Abram Sabharwal has 21 years of experience in Consumer Protection Law, Consumer Protection Law, and Human Rights Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 344.14541438252917 USD per hour,He takes 84.9070476500102 Avg Days for Disposal,"He speaks: Punjabi, Gujarati and Gujarati","He practices at Barad-Mann, and is based in Kolkata",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Male
61,Abram Sachar,"Abram Sachar has 8 years of experience in Human Rights Law, Constitutional Law, and Banking and Finance Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 452.64289415562274 USD per hour,He takes 87.89169771746353 Avg Days for Disposal,"He speaks: Tamil, Gujarati and Tamil","He practices at Rajagopalan-D’Alia, and is based in Mumbai",She provides pro bono services to the community,Her Client Demographics is Large Corporations.,Male
62,Abram Sagar,"Abram Sagar has 17 years of experience in Constitutional Law, Tax Law, and Labor Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 89.12280231151438 USD per hour,He takes 89.71316730219439 Avg Days for Disposal,"He speaks: Marathi, Assamese and Bengali","He practices at Jani, Manda and Deep, and is based in Chennai",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Male
63,Abram Sanghvi,"Abram Sanghvi has 19 years of experience in Medical Law, Civil Law, and Constitutional Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is High Court,He charges 227.33764182951433 USD per hour,He takes 119.7807059289044 Avg Days for Disposal,"He speaks: Bengali, Malayalam and Kannada","He practices at Balay, Master and Cheema, and is based in Hyderabad",She provides pro bono services to the community,Her Client Demographics is Individuals.,Male
64,Abram Sidhu,"Abram Sidhu has 17 years of experience in Criminal Law, Corporate Law, and Intellectual Property Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 205.62285663931726 USD per hour,He takes 110.17281046771042 Avg Days for Disposal,"He speaks: Urdu, Telugu and Bengali","He practices at Ray Inc, and is based in Mumbai",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Male
65,Abram Thaker,"Abram Thaker has 23 years of experience in Consumer Protection Law, Human Rights Law, and Real Estate Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is High Court,He charges 170.82503428887293 USD per hour,He takes 80.5886889836044 Avg Days for Disposal,"He speaks: Bengali, Kannada and Gujarati","He practices at Issac, Yogi and Grewal, and is based in Bangalore",She provides pro bono services to the community,Her Client Demographics is Small Businesses.,Male
66,Abram Tripathi,"Abram Tripathi has 19 years of experience in Immigration Law, Real Estate Law, and Corporate Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is High Court,He charges 82.65865912011986 USD per hour,He takes 104.17967656853799 Avg Days for Disposal,"He speaks: Bengali, Malayalam and Telugu","He practices at Reddy, Bahri and Din, and is based in Mumbai",She provides pro bono services to the community,Her Client Demographics is Large Corporations.,Male
