,Lawyer Names,Information,First_Name
69,Anahi Date,"Anahi Date has 15 years of experience in Intellectual Property Law, Medical Law, and Consumer Protection Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is District Court. He charges 276.4100996367439 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Telugu, Marathi and Marathi. He practices at Tak, Kumer and Dora, and is based in Mumbai. She does not provide pro bono services to the community. Her Client Demographics is Individuals.",Anahi
74,Stuvan Cherian,"Stuvan Cherian has 8 years of experience in Consumer Protection Law, Constitutional Law, and Family Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is High Court. He charges 412.2920195597868 USD per hour. He takes 97.2091289002102 Avg Days for Disposal. He speaks: Marathi, Assamese and Telugu. He practices at Choudhry Ltd, and is based in Delhi. He provides pro bono services to the community. His Client Demographics is Large Corporations.",Stuvan
90,Rasha Deol,"Rasha Deol has 18 years of experience in Consumer Protection Law, Corporate Law, and Environmental Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is High Court. He charges 258.95761244696376 USD per hour. He takes 107.5675144905922 Avg Days for Disposal. He speaks: Kannada, Odia and Punjabi. He practices at Mahal-Solanki, and is based in Chennai. She provides pro bono services to the community. Her Client Demographics is Small Businesses.",Rasha
91,Nirvaan Ramaswamy,"Nirvaan Ramaswamy has 26 years of experience in Civil Law, Real Estate Law, and Immigration Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is District Court. He charges 244.96291953906254 USD per hour. He takes 68.02537880842667 Avg Days for Disposal. He speaks: Tamil, Tamil and Urdu. He practices at Kothari Ltd, and is based in Kolkata. He does not provide pro bono services to the community. His Client Demographics is Large Corporations.",Nirvaan
92,Indrans Khalsa,"Indrans Khalsa has 12 years of experience in Immigration Law, Family Law, and Medical Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 409.86133790125604 USD per hour. He takes 79.97317633720233 Avg Days for Disposal. He speaks: Malayalam, Urdu and Hindi. He practices at Sarin-Mane, and is based in Mumbai. He does not provide pro bono services to the community. His Client Demographics is Small Businesses.",Indrans
108,Rania Deshpande,"Rania Deshpande has 18 years of experience in Family Law, Banking and Finance Law, and Environmental Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 284.14563178612354 USD per hour. He takes 102.39604975995786 Avg Days for Disposal. He speaks: Telugu, Odia and Tamil. He practices at Bhatt, Kaur and Doshi, and is based in Kolkata. She provides pro bono services to the community. Her Client Demographics is Individuals.",Rania
109,Farhan Solanki,"Farhan Solanki has 15 years of experience in Real Estate Law, Medical Law, and Intellectual Property Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is Specialized Court. He charges 488.8600408777814 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Marathi, Punjabi and Assamese. He practices at Sahni-Dube, and is based in Delhi. He does not provide pro bono services to the community. His Client Demographics is Individuals.",Farhan
142,Abram Borde,"Abram Borde has 26 years of experience in Consumer Protection Law, Immigration Law, and Criminal Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is High Court. He charges 197.15304582324595 USD per hour. He takes 86.49413913222412 Avg Days for Disposal. He speaks: Malayalam, Marathi and Urdu. He practices at Hayre, Sule and Mani, and is based in Chennai. He provides pro bono services to the community. His Client Demographics is Individuals.",Abram
144,Stuvan Keer,"Stuvan Keer has 28 years of experience in Medical Law, Labor Law, and Consumer Protection Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is High Court. He charges 173.83559529806405 USD per hour. He takes 101.65397538532243 Avg Days for Disposal. He speaks: Hindi, Malayalam and Punjabi. He practices at Hayre, Amble and Bawa, and is based in Kolkata. He does not provide pro bono services to the community. His Client Demographics is Small Businesses.",Stuvan
145,Mamooty Yadav,"Mamooty Yadav has 7 years of experience in Banking and Finance Law, Immigration Law, and Consumer Protection Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is High Court. He charges 459.3140127741998 USD per hour. He takes 114.11872591678735 Avg Days for Disposal. He speaks: Urdu, Hindi and Odia. He practices at Krishnan Group, and is based in Chennai. She does not provide pro bono services to the community. Her Client Demographics is Small Businesses.",Mamooty
146,Emir Khurana,"Emir Khurana has 9 years of experience in Immigration Law, Immigration Law, and Environmental Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is High Court. He charges 335.25025782459886 USD per hour. He takes 110.30180471431805 Avg Days for Disposal. He speaks: Telugu, Punjabi and Gujarati. He practices at Rana Ltd, and is based in Bangalore. She provides pro bono services to the community. Her Client Demographics is Small Businesses.",Emir
154,Kismat Kothari,"Kismat Kothari has 24 years of experience in Real Estate Law, Labor Law, and Tax Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 130.84304807990384 USD per hour. He takes 96.07235113212403 Avg Days for Disposal. He speaks: Kannada, Marathi and Tamil. He practices at Gulati-Dara, and is based in Mumbai. She provides pro bono services to the community. Her Client Demographics is Individuals.",Kismat
158,Emir Saini,"Emir Saini has 8 years of experience in Consumer Protection Law, Medical Law, and Human Rights Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 87.31156162751651 USD per hour. He takes 90.82798863795134 Avg Days for Disposal. He speaks: Malayalam, Urdu and Assamese. He practices at Dubey-Datta, and is based in Kolkata. She provides pro bono services to the community. Her Client Demographics is Small Businesses.",Emir
175,Dharmajan Lad,"Dharmajan Lad has 9 years of experience in Real Estate Law, Constitutional Law, and Immigration Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is High Court. He charges 117.22972480419755 USD per hour. He takes 66.42870002492549 Avg Days for Disposal. He speaks: Urdu, Telugu and Urdu. He practices at Borah-Raja, and is based in Bangalore. He provides pro bono services to the community. His Client Demographics is Large Corporations.",Dharmajan
179,Rasha Divan,"Rasha Divan has 10 years of experience in Human Rights Law, Banking and Finance Law, and Corporate Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is Specialized Court. He charges 468.5024200059827 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Hindi, Urdu and Malayalam. He practices at Kunda-Gopal, and is based in Hyderabad. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",Rasha
182,Ehsaan Ravi,"Ehsaan Ravi has 19 years of experience in Human Rights Law, Environmental Law, and Civil Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is High Court. He charges 453.3063121157599 USD per hour. He takes 67.16498522577383 Avg Days for Disposal. He speaks: Malayalam, Odia and Tamil. He practices at Ganguly PLC, and is based in Kolkata. He does not provide pro bono services to the community. His Client Demographics is Large Corporations.",Ehsaan
193,Abram Garde,"Abram Garde has 11 years of experience in Tax Law, Media and Entertainment Law, and Corporate Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 153.94068973762865 USD per hour. He takes 92.14485952213825 Avg Days for Disposal. He speaks: Bengali, Malayalam and Urdu. He practices at Hegde Inc, and is based in Delhi. She does not provide pro bono services to the community. Her Client Demographics is Small Businesses.",Abram
220,Mamooty Ganesh,"Mamooty Ganesh has 1 years of experience in Banking and Finance Law, Immigration Law, and Banking and Finance Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is High Court. He charges 107.93949681562496 USD per hour. He takes 108.65203692518945 Avg Days for Disposal. He speaks: Assamese, Odia and Kannada. He practices at Brahmbhatt-Goda, and is based in Bangalore. She does not provide pro bono services to the community. Her Client Demographics is Small Businesses.",Mamooty
221,Nehmat Kaur,"Nehmat Kaur has 25 years of experience in Consumer Protection Law, Human Rights Law, and Intellectual Property Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 476.4306463343002 USD per hour. He takes 78.30937012109824 Avg Days for Disposal. He speaks: Bengali, Tamil and Malayalam. He practices at Thakkar-Banik, and is based in Chennai. He provides pro bono services to the community. His Client Demographics is Small Businesses.",Nehmat
229,Dhanuk Trivedi,"Dhanuk Trivedi has 6 years of experience in Environmental Law, Constitutional Law, and Tax Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is District Court. He charges 352.85367482990466 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Punjabi, Punjabi and Kannada. He practices at Chawla, Dhar and Kapadia, and is based in Chennai. He provides pro bono services to the community. His Client Demographics is Large Corporations.",Dhanuk
237,Aaina Sharma,"Aaina Sharma has 12 years of experience in Criminal Law, Environmental Law, and Real Estate Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is High Court. He charges 388.7272120216892 USD per hour. He takes 76.83773966766552 Avg Days for Disposal. He speaks: Telugu, Kannada and Marathi. He practices at Sathe-Bal, and is based in Mumbai. She provides pro bono services to the community. Her Client Demographics is Individuals.",Aaina
239,Dhanuk Baral,"Dhanuk Baral has 15 years of experience in Consumer Protection Law, Banking and Finance Law, and Labor Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is High Court. He charges 251.04747147782308 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Assamese, Gujarati and Odia. He practices at Gour-Dhar, and is based in Mumbai. He does not provide pro bono services to the community. His Client Demographics is Individuals.",Dhanuk
240,Indrans Dhillon,"Indrans Dhillon has 27 years of experience in Intellectual Property Law, Labor Law, and Tax Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 53.19343962269923 USD per hour. He takes 88.08889691415061 Avg Days for Disposal. He speaks: Punjabi, Gujarati and Telugu. He practices at Kurian-Kumar, and is based in Mumbai. She provides pro bono services to the community. Her Client Demographics is Individuals.",Indrans
241,Parinaaz Devi,"Parinaaz Devi has 22 years of experience in Medical Law, Real Estate Law, and Consumer Protection Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 418.72920393492177 USD per hour. He takes 91.53968292809496 Avg Days for Disposal. He speaks: Urdu, Bengali and Marathi. He practices at Gaba-Kar, and is based in Kolkata. He provides pro bono services to the community. His Client Demographics is Individuals.",Parinaaz
260,Nirvaan Kakar,"Nirvaan Kakar has 2 years of experience in Human Rights Law, Media and Entertainment Law, and Criminal Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 236.00410694203651 USD per hour. He takes 77.37825728806487 Avg Days for Disposal. He speaks: Punjabi, Hindi and Kannada. He practices at Konda Group, and is based in Mumbai. She provides pro bono services to the community. Her Client Demographics is Individuals.",Nirvaan
267,Anahi Gokhale,"Anahi Gokhale has 1 years of experience in Real Estate Law, Family Law, and Medical Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is High Court. He charges 137.35794670068748 USD per hour. He takes 92.90172862487694 Avg Days for Disposal. He speaks: Punjabi, Hindi and Malayalam. He practices at Hayre LLC, and is based in Chennai. She provides pro bono services to the community. Her Client Demographics is Individuals.",Anahi
270,Rasha Bir,"Rasha Bir has 21 years of experience in Human Rights Law, Immigration Law, and Human Rights Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 425.7305487734526 USD per hour. He takes 87.23172836721082 Avg Days for Disposal. He speaks: Urdu, Marathi and Hindi. He practices at Brar, Johal and Dewan, and is based in Bangalore. She does not provide pro bono services to the community. Her Client Demographics is Small Businesses.",Rasha
290,Dharmajan Sehgal,"Dharmajan Sehgal has 16 years of experience in Labor Law, Constitutional Law, and Constitutional Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is District Court. He charges 395.0457603522511 USD per hour. He takes 101.11610671023429 Avg Days for Disposal. He speaks: Urdu, Marathi and Malayalam. He practices at Bhardwaj and Sons, and is based in Chennai. She provides pro bono services to the community. Her Client Demographics is Small Businesses.",Dharmajan
317,Indrans Brar,"Indrans Brar has 11 years of experience in Media and Entertainment Law, Civil Law, and Media and Entertainment Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 350.01898492840553 USD per hour. He takes 83.78054236778954 Avg Days for Disposal. He speaks: Bengali, Punjabi and Tamil. He practices at Kanda, Chakrabarti and Kala, and is based in Bangalore. He provides pro bono services to the community. His Client Demographics is Large Corporations.",Indrans
318,Indrans Chaudhary,"Indrans Chaudhary has 28 years of experience in Environmental Law, Consumer Protection Law, and Tax Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is High Court. He charges 177.9297300929567 USD per hour. He takes 79.13546198688499 Avg Days for Disposal. He speaks: Gujarati, Urdu and Marathi. He practices at Batta and Sons, and is based in Chennai. He provides pro bono services to the community. His Client Demographics is Small Businesses.",Indrans
321,Rasha Sarraf,"Rasha Sarraf has 18 years of experience in Criminal Law, Intellectual Property Law, and Labor Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 250.57841940629112 USD per hour. He takes 100.94659405551293 Avg Days for Disposal. He speaks: Kannada, Gujarati and Urdu. He practices at Kadakia Group, and is based in Delhi. He provides pro bono services to the community. His Client Demographics is Individuals.",Rasha
322,Ehsaan Dhawan,"Ehsaan Dhawan has 23 years of experience in Consumer Protection Law, Consumer Protection Law, and Intellectual Property Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 426.2533769952692 USD per hour. He takes 76.03497432551337 Avg Days for Disposal. He speaks: Kannada, Marathi and Hindi. He practices at Das-Kurian, and is based in Delhi. She provides pro bono services to the community. Her Client Demographics is Large Corporations.",Ehsaan
323,Siya Shetty,"Siya Shetty has 10 years of experience in Intellectual Property Law, Human Rights Law, and Consumer Protection Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is High Court. He charges 169.23517769994936 USD per hour. He takes 90.64546459981922 Avg Days for Disposal. He speaks: Telugu, Tamil and Hindi. He practices at Wali-Magar, and is based in Bangalore. She provides pro bono services to the community. Her Client Demographics is Small Businesses.",Siya
324,Mamooty Kumar,"Mamooty Kumar has 3 years of experience in Labor Law, Corporate Law, and Labor Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 251.88466622798038 USD per hour. He takes 100.30286866518384 Avg Days for Disposal. He speaks: Gujarati, Tamil and Kannada. He practices at Bhatt PLC, and is based in Delhi. He does not provide pro bono services to the community. His Client Demographics is Small Businesses.",Mamooty
326,Dhanuk Chaudry,"Dhanuk Chaudry has 28 years of experience in Environmental Law, Consumer Protection Law, and Constitutional Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is District Court. He charges 348.63112434528483 USD per hour. He takes 121.82446960995304 Avg Days for Disposal. He speaks: Kannada, Hindi and Punjabi. He practices at Sathe, Malhotra and Bala, and is based in Chennai. He does not provide pro bono services to the community. His Client Demographics is Individuals.",Dhanuk
335,Parinaaz Golla,"Parinaaz Golla has 1 years of experience in Media and Entertainment Law, Civil Law, and Corporate Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is High Court. He charges 142.33421430716317 USD per hour. He takes 96.75233450919971 Avg Days for Disposal. He speaks: Kannada, Urdu and Bengali. He practices at Lalla, Bath and Badal, and is based in Mumbai. She does not provide pro bono services to the community. Her Client Demographics is Individuals.",Parinaaz
351,Dharmajan Chana,"Dharmajan Chana has 22 years of experience in Criminal Law, Criminal Law, and Banking and Finance Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is High Court. He charges 108.95657839270952 USD per hour. He takes 70.63586670760164 Avg Days for Disposal. He speaks: Gujarati, Hindi and Odia. He practices at Bhat, Lad and Garg, and is based in Kolkata. She does not provide pro bono services to the community. Her Client Demographics is Individuals.",Dharmajan
360,Samaira Shanker,"Samaira Shanker has 6 years of experience in Civil Law, Media and Entertainment Law, and Constitutional Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 83.49278829733205 USD per hour. He takes 55.88068453190701 Avg Days for Disposal. He speaks: Odia, Kannada and Telugu. He practices at Rastogi, Sodhi and Thaman, and is based in Chennai. He does not provide pro bono services to the community. His Client Demographics is Large Corporations.",Samaira
368,Suhana Goyal,"Suhana Goyal has 29 years of experience in Medical Law, Criminal Law, and Medical Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is High Court. He charges 394.29796623490887 USD per hour. He takes 99.9339447323943 Avg Days for Disposal. He speaks: Urdu, Bengali and Tamil. He practices at Wagle-Babu, and is based in Hyderabad. He provides pro bono services to the community. His Client Demographics is Individuals.",Suhana
378,Rasha Devi,"Rasha Devi has 4 years of experience in Environmental Law, Civil Law, and Intellectual Property Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is District Court. He charges 465.45068614335287 USD per hour. He takes 75.0460256039681 Avg Days for Disposal. He speaks: Bengali, Hindi and Odia. He practices at Ramesh LLC, and is based in Bangalore. He does not provide pro bono services to the community. His Client Demographics is Large Corporations.",Rasha
380,Seher Tata,"Seher Tata has 4 years of experience in Labor Law, Immigration Law, and Real Estate Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 107.19617619683318 USD per hour. He takes 83.3458975468892 Avg Days for Disposal. He speaks: Malayalam, Malayalam and Tamil. He practices at Suri, Karan and Thakkar, and is based in Hyderabad. He provides pro bono services to the community. His Client Demographics is Individuals.",Seher
384,Aaryahi Devan,"Aaryahi Devan has 16 years of experience in Medical Law, Tax Law, and Tax Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 69.64741792085384 USD per hour. He takes 80.56443208194584 Avg Days for Disposal. He speaks: Tamil, Hindi and Gujarati. He practices at Uppal-Upadhyay, and is based in Bangalore. He provides pro bono services to the community. His Client Demographics is Large Corporations.",Aaryahi
385,Indrans Venkataraman,"Indrans Venkataraman has 20 years of experience in Media and Entertainment Law, Environmental Law, and Human Rights Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 156.484909161504 USD per hour. He takes 88.23517602596753 Avg Days for Disposal. He speaks: Gujarati, Marathi and Assamese. He practices at Chaudhary LLC, and is based in Bangalore. She does not provide pro bono services to the community. Her Client Demographics is Individuals.",Indrans
386,Rania Salvi,"Rania Salvi has 24 years of experience in Labor Law, Intellectual Property Law, and Corporate Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 450.387045632921 USD per hour. He takes 90.22541625430645 Avg Days for Disposal. He speaks: Odia, Assamese and Marathi. He practices at Master LLC, and is based in Delhi. He does not provide pro bono services to the community. His Client Demographics is Individuals.",Rania
397,Dharmajan Mand,"Dharmajan Mand has 23 years of experience in Environmental Law, Corporate Law, and Environmental Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 374.15001612469683 USD per hour. He takes 81.23398535105953 Avg Days for Disposal. He speaks: Tamil, Assamese and Odia. He practices at Yohannan, Ramanathan and Rao, and is based in Chennai. He does not provide pro bono services to the community. His Client Demographics is Large Corporations.",Dharmajan
399,Ehsaan Varma,"Ehsaan Varma has 14 years of experience in Civil Law, Civil Law, and Real Estate Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is District Court. He charges 233.61820772126748 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Hindi, Urdu and Marathi. He practices at Cherian-De, and is based in Bangalore. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",Ehsaan
405,Rania Sahota,"Rania Sahota has 8 years of experience in Tax Law, Environmental Law, and Environmental Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is District Court. He charges 361.6577600349118 USD per hour. He takes 103.10984626510324 Avg Days for Disposal. He speaks: Urdu, Bengali and Punjabi. He practices at Shah-Chandra, and is based in Hyderabad. She provides pro bono services to the community. Her Client Demographics is Individuals.",Rania
414,Rasha Vaidya,"Rasha Vaidya has 5 years of experience in Banking and Finance Law, Constitutional Law, and Medical Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is District Court. He charges 175.16463820200988 USD per hour. He takes 79.44125511876683 Avg Days for Disposal. He speaks: Malayalam, Telugu and Hindi. He practices at Bera-Kade, and is based in Delhi. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",Rasha
415,Anahi Sule,"Anahi Sule has 28 years of experience in Environmental Law, Consumer Protection Law, and Consumer Protection Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is District Court. He charges 196.0279921260263 USD per hour. He takes 74.1794331755112 Avg Days for Disposal. He speaks: Gujarati, Kannada and Malayalam. He practices at Kurian, Aggarwal and Sule, and is based in Mumbai. He does not provide pro bono services to the community. His Client Demographics is Large Corporations.",Anahi
416,Rasha Sem,"Rasha Sem has 29 years of experience in Family Law, Corporate Law, and Family Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is High Court. He charges 475.3051019351991 USD per hour. He takes 88.99154539205803 Avg Days for Disposal. He speaks: Bengali, Hindi and Gujarati. He practices at Mangal-Manda, and is based in Hyderabad. He provides pro bono services to the community. His Client Demographics is Small Businesses.",Rasha
424,Anahi Bakshi,"Anahi Bakshi has 28 years of experience in Corporate Law, Human Rights Law, and Labor Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 331.816673598092 USD per hour. He takes 74.1525439406211 Avg Days for Disposal. He speaks: Gujarati, Malayalam and Telugu. He practices at Tripathi, Dada and Luthra, and is based in Delhi. She does not provide pro bono services to the community. Her Client Demographics is Small Businesses.",Anahi
428,Emir Kapadia,"Emir Kapadia has 6 years of experience in Banking and Finance Law, Tax Law, and Media and Entertainment Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 109.65833486801705 USD per hour. He takes 89.76655366694558 Avg Days for Disposal. He speaks: Tamil, Telugu and Hindi. He practices at Sandhu, Viswanathan and Ranganathan, and is based in Chennai. She provides pro bono services to the community. Her Client Demographics is Small Businesses.",Emir
429,Samaira Yadav,"Samaira Yadav has 3 years of experience in Real Estate Law, Civil Law, and Human Rights Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is District Court. He charges 398.60282173180923 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Hindi, Malayalam and Kannada. He practices at Venkatesh, Rao and Hegde, and is based in Hyderabad. He provides pro bono services to the community. His Client Demographics is Small Businesses.",Samaira
432,Seher Sarma,"Seher Sarma has 5 years of experience in Human Rights Law, Immigration Law, and Media and Entertainment Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 373.9817927162658 USD per hour. He takes 75.32617592909284 Avg Days for Disposal. He speaks: Gujarati, Gujarati and Urdu. He practices at Hari-Apte, and is based in Kolkata. He does not provide pro bono services to the community. His Client Demographics is Large Corporations.",Seher
436,Ehsaan Chhabra,"Ehsaan Chhabra has 14 years of experience in Media and Entertainment Law, Banking and Finance Law, and Corporate Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 328.0159375651789 USD per hour. He takes 74.1179977762827 Avg Days for Disposal. He speaks: Bengali, Gujarati and Bengali. He practices at Shetty, Chaudhuri and Baral, and is based in Bangalore. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",Ehsaan
445,Dhanuk Mann,"Dhanuk Mann has 1 years of experience in Media and Entertainment Law, Family Law, and Labor Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 191.49534761513243 USD per hour. He takes 105.32452820741412 Avg Days for Disposal. He speaks: Punjabi, Kannada and Urdu. He practices at Ramachandran, Shetty and Kala, and is based in Delhi. He does not provide pro bono services to the community. His Client Demographics is Large Corporations.",Dhanuk
