Lawyer Names,0,1,2,3,4,5,6,7,8
Krish Ramachandran,"Krish Ramachandran has 28 years of experience in Medical Law, Human Rights Law, and Family Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 472.30143818468343 USD per hour,He takes 117.08361649030223 Avg Days for Disposal,"He speaks: Tamil, Telugu and Kannada","He practices at Balasubramanian PLC, and is based in Delhi",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.
Rhea De,"Rhea De has 21 years of experience in Constitutional Law, Civil Law, and Corporate Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 126.98868508572292 USD per hour,He takes 80.50090942934591 Avg Days for Disposal,"He speaks: Tamil, Punjabi and Malayalam","He practices at Ganesh, Grover and Kapadia, and is based in Kolkata",He provides pro bono services to the community,His Client Demographics is Small Businesses.
Sahil D’Alia,"Sahil D’Alia has 1 years of experience in Labor Law, Immigration Law, and Banking and Finance Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 100.95955323791894 USD per hour,He takes 88.54859845219666 Avg Days for Disposal,"He speaks: Malayalam, Punjabi and Odia","He practices at Dhillon-Kumar, and is based in Chennai",He provides pro bono services to the community,His Client Demographics is Large Corporations.
Eshani Hayre,"Eshani Hayre has 12 years of experience in Immigration Law, Immigration Law, and Tax Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is Supreme Court,He charges 306.584247109912 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Urdu, Bengali and Marathi","He practices at Dora, Garg and Raj, and is based in Chennai",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.
Advika Walla,"Advika Walla has 26 years of experience in Environmental Law, Banking and Finance Law, and Criminal Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 437.82972048267345 USD per hour,He takes 142.93582781355727 Avg Days for Disposal,"He speaks: Urdu, Punjabi and Odia","He practices at Chaudhuri, Shukla and Chandra, and is based in Kolkata",She provides pro bono services to the community,Her Client Demographics is Large Corporations.
Aaryahi Banik,"Aaryahi Banik has 22 years of experience in Environmental Law, Human Rights Law, and Environmental Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 264.69941796226675 USD per hour,He takes 71.33270325166701 Avg Days for Disposal,"He speaks: Hindi, Bengali and Bengali","He practices at Bhagat-Singhal, and is based in Mumbai",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.
Yasmin Kalla,"Yasmin Kalla has 29 years of experience in Family Law, Family Law, and Media and Entertainment Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 497.55391550803614 USD per hour,He takes 96.74740820589764 Avg Days for Disposal,"He speaks: Malayalam, Odia and Malayalam","He practices at Din Group, and is based in Chennai",He does not provide pro bono services to the community,His Client Demographics is Individuals.
Mahika Varma,"Mahika Varma has 12 years of experience in Constitutional Law, Real Estate Law, and Family Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 355.62726479209675 USD per hour,He takes 79.3867157205884 Avg Days for Disposal,"He speaks: Odia, Gujarati and Tamil","He practices at Handa Ltd, and is based in Delhi",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.
Ira Mall,"Ira Mall has 25 years of experience in Consumer Protection Law, Consumer Protection Law, and Banking and Finance Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 83.33370824470148 USD per hour,He takes 81.91814543134933 Avg Days for Disposal,"He speaks: Tamil, Urdu and Malayalam","He practices at Halder LLC, and is based in Mumbai",She provides pro bono services to the community,Her Client Demographics is Large Corporations.
Madhav Agarwal,"Madhav Agarwal has 17 years of experience in Medical Law, Intellectual Property Law, and Media and Entertainment Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 496.7744592568889 USD per hour,He takes 79.19681968489814 Avg Days for Disposal,"He speaks: Hindi, Gujarati and Bengali","He practices at Sheth-Shere, and is based in Bangalore",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.
Kanav Sahni,"Kanav Sahni has 27 years of experience in Intellectual Property Law, Tax Law, and Civil Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is High Court,He charges 233.55240655108568 USD per hour,He takes 73.11517548299122 Avg Days for Disposal,"He speaks: Kannada, Kannada and Malayalam","He practices at Thaker and Sons, and is based in Bangalore",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.
Anaya Choudhary,"Anaya Choudhary has 27 years of experience in Constitutional Law, Medical Law, and Tax Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 179.33114023046713 USD per hour,He takes 89.38062957323008 Avg Days for Disposal,"He speaks: Gujarati, Assamese and Hindi","He practices at Bhasin-Mangal, and is based in Mumbai",He provides pro bono services to the community,His Client Demographics is Small Businesses.
Drishya Rattan,"Drishya Rattan has 10 years of experience in Environmental Law, Environmental Law, and Family Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 301.04563261004853 USD per hour,He takes 67.88245969427646 Avg Days for Disposal,"He speaks: Gujarati, Hindi and Tamil","He practices at Kalita, Taneja and Chahal, and is based in Delhi",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.
Nitya Talwar,"Nitya Talwar has 28 years of experience in Immigration Law, Civil Law, and Intellectual Property Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is Supreme Court,He charges 186.93841631938895 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Tamil, Kannada and Bengali","He practices at Tandon-Kari, and is based in Bangalore",He does not provide pro bono services to the community,His Client Demographics is Individuals.
Ivana Madan,"Ivana Madan has 28 years of experience in Media and Entertainment Law, Media and Entertainment Law, and Medical Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 88.90587820406854 USD per hour,He takes 90.82504404050061 Avg Days for Disposal,"He speaks: Hindi, Telugu and Gujarati","He practices at Banik-Raval, and is based in Hyderabad",He provides pro bono services to the community,His Client Demographics is Small Businesses.
Purab Contractor,"Purab Contractor has 16 years of experience in Tax Law, Environmental Law, and Corporate Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is High Court,He charges 50.64275438562952 USD per hour,He takes 96.3365245935216 Avg Days for Disposal,"He speaks: Odia, Telugu and Kannada","He practices at Karan and Sons, and is based in Delhi",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.
Riya Kannan,"Riya Kannan has 15 years of experience in Family Law, Immigration Law, and Real Estate Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is High Court,He charges 252.31250881411805 USD per hour,He takes 83.00717082080666 Avg Days for Disposal,"He speaks: Malayalam, Urdu and Bengali","He practices at Gole-Balakrishnan, and is based in Kolkata",She provides pro bono services to the community,Her Client Demographics is Small Businesses.
Zoya Verma,"Zoya Verma has 15 years of experience in Intellectual Property Law, Labor Law, and Environmental Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 426.5885400019665 USD per hour,He takes 84.49194098682378 Avg Days for Disposal,"He speaks: Odia, Marathi and Gujarati","He practices at Konda and Sons, and is based in Chennai",He does not provide pro bono services to the community,His Client Demographics is Individuals.
Jhanvi Gaba,"Jhanvi Gaba has 19 years of experience in Immigration Law, Corporate Law, and Medical Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 307.54183353353443 USD per hour,He takes 94.31345857750992 Avg Days for Disposal,"He speaks: Kannada, Marathi and Marathi","He practices at Dar-Kapur, and is based in Mumbai",She provides pro bono services to the community,Her Client Demographics is Small Businesses.
Shaan Soni,"Shaan Soni has 12 years of experience in Consumer Protection Law, Criminal Law, and Human Rights Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 499.6432845245484 USD per hour,He takes 72.53924051391262 Avg Days for Disposal,"He speaks: Tamil, Marathi and Hindi","He practices at Raj, Tailor and Gopal, and is based in Chennai",She provides pro bono services to the community,Her Client Demographics is Large Corporations.
Stuvan Krish,"Stuvan Krish has 23 years of experience in Media and Entertainment Law, Real Estate Law, and Constitutional Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 179.08099054124 USD per hour,He takes 84.63014348379997 Avg Days for Disposal,"He speaks: Telugu, Punjabi and Malayalam","He practices at Varughese-Ben, and is based in Kolkata",He provides pro bono services to the community,His Client Demographics is Small Businesses.
Manikya Gour,"Manikya Gour has 20 years of experience in Human Rights Law, Labor Law, and Banking and Finance Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 176.2047791420249 USD per hour,He takes 77.1057972918232 Avg Days for Disposal,"He speaks: Kannada, Odia and Telugu","He practices at Sura, Sachar and Bawa, and is based in Bangalore",He provides pro bono services to the community,His Client Demographics is Small Businesses.
Kavya Rattan,"Kavya Rattan has 25 years of experience in Consumer Protection Law, Real Estate Law, and Corporate Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is District Court,He charges 121.8872571052749 USD per hour,He takes 76.64146784113478 Avg Days for Disposal,"He speaks: Hindi, Kannada and Malayalam","He practices at Sem and Sons, and is based in Hyderabad",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.
Diya Bassi,"Diya Bassi has 3 years of experience in Immigration Law, Family Law, and Tax Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is District Court,He charges 123.82861471940083 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Telugu, Telugu and Assamese","He practices at Guha, Chowdhury and Rout, and is based in Delhi",He does not provide pro bono services to the community,His Client Demographics is Individuals.
Pari Garde,"Pari Garde has 5 years of experience in Human Rights Law, Tax Law, and Intellectual Property Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 178.3339682045215 USD per hour,He takes 110.0898988422 Avg Days for Disposal,"He speaks: Assamese, Hindi and Hindi","He practices at Kala-Bera, and is based in Delhi",He provides pro bono services to the community,His Client Demographics is Small Businesses.
Saksham Amble,"Saksham Amble has 19 years of experience in Criminal Law, Banking and Finance Law, and Criminal Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is High Court,He charges 406.7780203730872 USD per hour,He takes 79.70191870269346 Avg Days for Disposal,"He speaks: Malayalam, Hindi and Tamil","He practices at Bali, Madan and Kata, and is based in Kolkata",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.
Jivin Kalla,"Jivin Kalla has 7 years of experience in Family Law, Banking and Finance Law, and Civil Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is High Court,He charges 457.5905557864015 USD per hour,He takes 107.45064082745326 Avg Days for Disposal,"He speaks: Gujarati, Hindi and Kannada","He practices at Jha Group, and is based in Mumbai",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.
Aaina Ganesan,"Aaina Ganesan has 21 years of experience in Constitutional Law, Immigration Law, and Constitutional Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 488.7892263684566 USD per hour,He takes 106.03188482091439 Avg Days for Disposal,"He speaks: Marathi, Marathi and Hindi","He practices at Tara Inc, and is based in Chennai",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.
Jayan Kaur,"Jayan Kaur has 9 years of experience in Human Rights Law, Corporate Law, and Environmental Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 154.53034434340367 USD per hour,He takes 70.7100044022526 Avg Days for Disposal,"He speaks: Gujarati, Urdu and Odia","He practices at Kunda, Bose and Varughese, and is based in Hyderabad",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.
Dhruv Yohannan,"Dhruv Yohannan has 7 years of experience in Media and Entertainment Law, Human Rights Law, and Banking and Finance Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 446.5838955263413 USD per hour,He takes 73.67383146490732 Avg Days for Disposal,"He speaks: Assamese, Marathi and Telugu","He practices at Reddy and Sons, and is based in Bangalore",He does not provide pro bono services to the community,His Client Demographics is Individuals.
Hiran Dave,"Hiran Dave has 18 years of experience in Banking and Finance Law, Consumer Protection Law, and Constitutional Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 197.71479017480166 USD per hour,He takes 128.40754439033526 Avg Days for Disposal,"He speaks: Malayalam, Malayalam and Tamil","He practices at Raman PLC, and is based in Mumbai",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.
Madhav Malhotra,"Madhav Malhotra has 4 years of experience in Human Rights Law, Human Rights Law, and Corporate Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 100.778245032598 USD per hour,He takes 116.26388912890715 Avg Days for Disposal,"He speaks: Tamil, Malayalam and Odia","He practices at Deshmukh-Raju, and is based in Hyderabad",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.
Ivan Chaudhuri,"Ivan Chaudhuri has 25 years of experience in Corporate Law, Labor Law, and Banking and Finance Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is District Court,He charges 441.5112164840745 USD per hour,He takes 89.52722230007844 Avg Days for Disposal,"He speaks: Urdu, Telugu and Tamil","He practices at Srivastava, Sethi and Baria, and is based in Hyderabad",He provides pro bono services to the community,His Client Demographics is Large Corporations.
Azad Suri,"Azad Suri has 28 years of experience in Tax Law, Real Estate Law, and Tax Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is Supreme Court,He charges 336.24753558962834 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Gujarati, Kannada and Odia","He practices at Raju, Kapoor and Ram, and is based in Kolkata",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.
Priyansh Choudhry,"Priyansh Choudhry has 14 years of experience in Corporate Law, Intellectual Property Law, and Criminal Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is District Court,He charges 124.12890323647778 USD per hour,He takes 80.53730395579217 Avg Days for Disposal,"He speaks: Punjabi, Kannada and Punjabi","He practices at Kaur-Mahajan, and is based in Kolkata",She provides pro bono services to the community,Her Client Demographics is Individuals.
Tara Bains,"Tara Bains has 18 years of experience in Constitutional Law, Family Law, and Labor Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is High Court,He charges 243.42406588085115 USD per hour,He takes 96.4852907130051 Avg Days for Disposal,"He speaks: Assamese, Urdu and Kannada","He practices at Khatri-D’Alia, and is based in Delhi",He provides pro bono services to the community,His Client Demographics is Large Corporations.
Gokul Sangha,"Gokul Sangha has 26 years of experience in Constitutional Law, Intellectual Property Law, and Human Rights Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 179.26596269468044 USD per hour,He takes 79.24227148916293 Avg Days for Disposal,"He speaks: Gujarati, Odia and Gujarati","He practices at Shroff, Bala and Raja, and is based in Bangalore",She provides pro bono services to the community,Her Client Demographics is Small Businesses.
Jivin Srivastava,"Jivin Srivastava has 9 years of experience in Family Law, Corporate Law, and Intellectual Property Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 381.55755591958865 USD per hour,He takes 59.51469353552423 Avg Days for Disposal,"He speaks: Gujarati, Assamese and Malayalam","He practices at Chokshi, Khatri and Doshi, and is based in Mumbai",He does not provide pro bono services to the community,His Client Demographics is Individuals.
Ranbir Sharaf,"Ranbir Sharaf has 26 years of experience in Constitutional Law, Consumer Protection Law, and Environmental Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is High Court,He charges 254.03730378092064 USD per hour,He takes 70.17666320233424 Avg Days for Disposal,"He speaks: Gujarati, Punjabi and Hindi","He practices at Amble LLC, and is based in Delhi",She does not provide pro bono services to the community,Her Client Demographics is Individuals.
Damini Virk,"Damini Virk has 21 years of experience in Environmental Law, Consumer Protection Law, and Labor Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 495.1759752978732 USD per hour,He takes 90.3163912177588 Avg Days for Disposal,"He speaks: Malayalam, Hindi and Marathi","He practices at Sarkar Ltd, and is based in Bangalore",She provides pro bono services to the community,Her Client Demographics is Large Corporations.
Ivan Dhaliwal,"Ivan Dhaliwal has 2 years of experience in Human Rights Law, Labor Law, and Civil Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 74.63524201681781 USD per hour,He takes 73.03399146746119 Avg Days for Disposal,"He speaks: Gujarati, Kannada and Odia","He practices at Mammen, Setty and Badal, and is based in Chennai",She provides pro bono services to the community,Her Client Demographics is Individuals.
Akarsh Karnik,"Akarsh Karnik has 20 years of experience in Human Rights Law, Environmental Law, and Criminal Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is High Court,He charges 209.756869761311 USD per hour,He takes 88.99083802629698 Avg Days for Disposal,"He speaks: Telugu, Urdu and Punjabi","He practices at Tara LLC, and is based in Chennai",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.
